Hotel ID;Localização;Estrelas;Idade Máxima de Crianças (Anos);Idade Máxima de Bebés (Meses);Hora máxima de check-in;Quantidade de quartos
20;Viseu;3;10;24;23:30:00.0000000;30
44;Pinhão - Alijó;3;12;24;23:00:00.0000000;10
49;Lamego;4;15;36;23:59:00.0000000;51
54;Póvoa de Lanhoso;3;12;36;23:59:00.0000000;21
167;Lisboa;4;12;36;23:59:00.0000000;62
179;Porto;4;12;24;23:59:00.0000000;132
185;Valdigem - Lamego;4;12;36;23:00:00.0000000;20
206;Porto;3;0;0;18:00:00.0000000;7
225;Porto;0;2;24;17:00:00.0000000;5
226;Lisboa;0;2;24;17:00:00.0000000;2
237;Lisboa;3;11;24;23:59:00.0000000;91
238;Funchal;3;8;23;23:30:00.0000000;52
241;Lisboa;0;5;24;20:00:00.0000000;25
242;Lisboa;0;5;24;20:00:00.0000000;8
259;Guimarães;4;11;36;23:59:00.0000000;22
269;Ovar;4;12;24;23:59:00.0000000;50
273;Seixas - Caminha;0;0;0;12:00:00.0000000;14
276;Braga;4;12;24;23:59:00.0000000;17
277;Braga;3;0;0;18:00:00.0000000;20
278;Braga;4;0;0;18:00:00.0000000;29
279;Braga;0;0;0;18:00:00.0000000;18
280;Viana do Castelo;4;12;24;23:59:00.0000000;37
281;Braga;4;12;3;23:59:00.0000000;16
283;Porto;0;3;36;20:00:00.0000000;7
284;Porto;0;3;36;20:00:00.0000000;10
285;Porto;1;3;36;20:00:00.0000000;8
287;Porto;0;3;36;20:00:00.0000000;12
297;Porto;0;12;24;20:00:00.0000000;8
302;Tomar;0;2;24;17:00:00.0000000;7
304;Coimbra;0;11;23;22:30:00.0000000;28
306;.;1;0;0;18:00:00.0000000;7
307;.;1;0;0;18:00:00.0000000;19
309;Valongo;3;12;4;23:59:00.0000000;41
310;Gaia;3;0;0;23:59:00.0000000;192
311;Maia;3;12;36;23:59:00.0000000;30
313;Olhão;0;12;11;19:00:00.0000000;13
314;Vila Nova de Gaia;4;36;36;23:59:00.0000000;7
316;Espinho;2;0;0;20:00:00.0000000;17
317;Espinho;3;5;24;23:59:00.0000000;13
318;Espinho;2;0;0;18:00:00.0000000;10
319;Aveiro;3;12;24;23:59:00.0000000;96
320;Aveiro;0;12;24;18:00:00.0000000;41
321;Aveiro;3;12;24;23:00:00.0000000;68
322;Aveiro;3;10;24;23:59:00.0000000;52
327;Câmara de Lobos;4;12;24;18:00:00.0000000;123
328;Lisboa;0;0;0;22:00:00.0000000;56
332;Lagoa, Açores;4;12;24;18:00:00.0000000;12
335;Furnas S. Miguel - Açores;2;12;36;19:00:00.0000000;10
339;Vila Meã;4;12;60;23:59:00.0000000;30
349;Lisboa;2;0;0;22:00:00.0000000;21
350;Albufeira;3;11;24;23:59:00.0000000;68
356;Valença do Minho;0;12;48;22:00:00.0000000;18
358;Porto;0;12;2;23:59:00.0000000;10
361;Lisboa;1;12;36;18:00:00.0000000;2
365;Sabugueiro / Seia;4;12;36;23:59:00.0000000;21
366;Castelo Branco;4;12;2;23:59:00.0000000;71
368;Olhos D'Água;0;12;36;18:00:00.0000000;12
369;Porto;3;12;12;18:00:00.0000000;17
370;Lisboa;0;2;24;00:01:00.0000000;19
378;Batalha;3;12;24;23:30:00.0000000;23
379;Lagos;4;10;36;18:00:00.0000000;26
380;Cascais;1;16;0;18:00:00.0000000;46
384;Lousada;4;0;0;18:00:00.0000000;27
386;Sintra;5;12;36;23:59:00.0000000;15
389;São Vicente Ferreira, São Miguel - Açores;4;12;24;23:00:00.0000000;16
390;Alijó;0;11;36;22:00:00.0000000;14
391;Torres Novas;4;17;0;23:59:00.0000000;19
392;Olhão;4;11;24;23:30:00.0000000;19
