date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,16.4,11.6,23.7,0,,194,14.9,29.6,1025.3,Porto
2022-01-02,13.8,10.9,23.7,4.3,,208,7.4,24.1,1029.7,Porto
2022-01-03,11.9,8.8,17.2,0.3,,197,13.4,33.3,1025.5,Porto
2022-01-04,12.1,8.5,15.3,9.7,,276,14.7,44.5,1018.5,Porto
2022-01-05,9.7,7.1,13.3,10.4,,269,8.9,31.5,1022.3,Porto
2022-01-06,7.8,4.1,13.3,0.3,,265,5.2,14.8,1025,Porto
2022-01-07,10.1,6.4,14.1,0.3,,11,11.5,29.6,1032.3,Porto
2022-01-08,6.7,2.3,14.1,0.3,,258,5.1,14.8,1034.1,Porto
2022-01-09,12,6.8,13.6,17.5,,241,7.7,22.2,1028.8,Porto
2022-01-10,12.4,9.6,13.6,2.3,,323,6.9,22.2,1027.4,Porto
2022-01-11,11.4,8.2,17.8,0.3,,0,5.8,14.8,1029.3,Porto
2022-01-12,12.7,10.3,17.8,0,,65,7.1,24.1,1030.4,Porto
2022-01-13,9.9,6.4,15.3,0,,169,7.1,22.2,1030.9,Porto
2022-01-14,7.3,3.3,15.1,,,186,6.7,22.2,1032.1,Porto
2022-01-15,8.6,3.7,15.9,,,199,8.5,22.2,1027.6,Porto
2022-01-16,11.1,7.9,15.9,0.3,,201,7.4,18.5,1029.5,Porto
2022-01-17,10.3,7.5,16.4,,,226,6,18.5,1032.7,Porto
2022-01-18,8.9,4.7,16.9,,,236,6.9,20.4,1031.4,Porto
2022-01-19,7.8,2.9,16.9,0,,240,6.9,20.4,1031.5,Porto
2022-01-20,10.1,4,18.5,,,248,6.5,20.4,1029.2,Porto
2022-01-21,9.8,5.6,18.5,,,125,8.2,24.1,1027.5,Porto
2022-01-22,7.9,4.7,13,,,117,8.9,27.8,1028.1,Porto
2022-01-23,7.6,2.9,15.9,,,235,6,20.4,1026,Porto
2022-01-24,7.1,1.6,15.9,0,,264,6.1,20.4,1027.2,Porto
2022-01-25,7.9,3,15.6,0.3,,279,5.9,20.4,1030.4,Porto
2022-01-26,8.5,3.6,15.6,0,,248,6.1,20.4,1028.7,Porto
2022-01-27,11.4,5.8,17.9,0,,312,5.8,18.5,1028.7,Porto
2022-01-28,11.9,5.3,17.9,,,130,7.3,22.2,1030.4,Porto
2022-01-29,12.8,6.5,19.1,,,197,7.2,22.2,1032.4,Porto
2022-01-30,9.7,4,19.4,,,237,6.9,22.2,1030.4,Porto
2022-01-31,8.1,3.1,19.4,,,274,6.3,18.5,1030.9,Porto
2022-02-01,13.7,5.1,18.8,,,359,6.4,20.4,1031.8,Porto
2022-02-02,13.4,7.8,20.1,,,222,8.1,22.2,1028.4,Porto
2022-02-03,9.5,5.4,20.1,,,230,6.9,16.7,1025.2,Porto
2022-02-04,10.4,8.1,14.8,0.5,,268,6,24.1,1026,Porto
2022-02-05,9.6,4.6,17.5,0.3,,8,8.4,24.1,1027.4,Porto
2022-02-06,10.3,5.9,17.5,0,,357,6.5,18.5,1030.4,Porto
2022-02-07,12,4.4,21,0,,273,6.8,20.4,1030,Porto
2022-02-08,15.2,10.1,20.8,,,221,7.1,24.1,1027.9,Porto
2022-02-09,14.4,6.5,19.3,,,238,7.7,22.2,1028.8,Porto
2022-02-10,11.7,6.9,19.3,,,238,7.5,20.4,1028.2,Porto
2022-02-11,12.8,8,18,,,251,5.9,18.5,1027.2,Porto
2022-02-12,11,7.4,17.4,,,265,5.7,18.5,1024.7,Porto
2022-02-13,9.6,6.1,15,12.7,,214,13.4,42.6,1019.7,Porto
2022-02-14,10.3,5.8,14.4,1,,309,7.4,27.8,1024.2,Porto
2022-02-15,8.8,3.9,14.6,0.3,,234,6.4,20.4,1031.1,Porto
2022-02-16,11.8,9.1,14.6,2.3,,222,8.1,22.2,1031.8,Porto
2022-02-17,12.9,10.5,16.4,0.8,,244,5.1,18.5,1029.2,Porto
2022-02-18,10.8,9,16.4,3.3,,289,11.2,35.2,1023.5,Porto
2022-02-19,9.6,6,14.6,1,,12,17.2,38.9,1028,Porto
2022-02-20,9.9,3.3,17.8,0,,1,8.1,24.1,1031.8,Porto
2022-02-21,10.2,4.6,17.8,0.3,,1,10,27.8,1031.1,Porto
2022-02-22,13.4,6,22.7,0.3,,267,6.5,20.4,1029.2,Porto
2022-02-23,13.3,7,22.7,0,,251,7.2,20.4,1022.8,Porto
2022-02-24,11.1,6.4,21.4,0,,345,10.4,31.5,1020.9,Porto
2022-02-25,14.3,11.4,18.9,,,44,9,25.9,1022.4,Porto
2022-02-26,12.1,10.3,18.9,,,204,6.1,18.5,1020.8,Porto
2022-02-27,11.3,6.5,15.8,,,258,6,20.4,1023.4,Porto
2022-02-28,11.1,5.6,17,0.3,,237,6.5,20.4,1026.8,Porto
2022-03-01,12.1,9.6,17,8.4,,216,9.8,29.6,1025.7,Porto
2022-03-02,10.7,7.3,16.2,0.5,,223,6.8,22.2,1026,Porto
2022-03-03,11.6,8.9,14.6,11.9,,319,17.3,44.5,1021.5,Porto
2022-03-04,9.7,5.6,14.6,0,,357,13.8,35.2,1025.8,Porto
2022-03-05,8.6,4.6,15.5,0,,320,6.9,20.4,1019.8,Porto
2022-03-06,10.2,4.5,15.5,,,20,10.7,29.6,1017.2,Porto
2022-03-07,8.7,3.4,14.9,2,,215,9.5,29.6,1014.3,Porto
2022-03-08,11.3,8.4,14.9,8.4,,210,10.8,25.9,1017,Porto
2022-03-09,11.5,8.6,15,32,,190,17.1,40.8,1017.9,Porto
2022-03-10,13,9.9,15.4,2.3,,193,18.6,51.8,1016,Porto
2022-03-11,12,7.2,15.4,8.9,,248,12.8,44.5,1014.7,Porto
2022-03-12,10.3,6.7,15,24.1,,205,14,40.8,1014.4,Porto
2022-03-13,10.3,5.7,14.6,2,,217,11,35.2,1014.2,Porto
2022-03-14,10.7,7.5,14.3,0.3,,44,9.6,27.8,1009.5,Porto
2022-03-15,14.2,7.3,19.9,0,,9,8.3,25.9,1011.5,Porto
2022-03-16,14,12.2,19.9,0,,356,16.9,42.6,1016.8,Porto
2022-03-17,13.4,8.5,17,,,22,12.7,29.6,1023.7,Porto
2022-03-18,14.6,10.3,21.3,,,82,7.9,25.9,1024.4,Porto
2022-03-19,13.9,7.7,21.4,,,207,7.3,20.4,1021.1,Porto
2022-03-20,14.6,9.9,21.4,,,129,8.9,25.9,1016.2,Porto
2022-03-21,13.2,10.1,19.2,,,193,6.5,20.4,1015.7,Porto
2022-03-22,12.6,11,19.1,,,186,9.8,25.9,1017.1,Porto
2022-03-23,13.3,10.4,17.3,,,97,9.6,25.9,1015.7,Porto
2022-03-24,15.6,11,20.9,,,54,8.6,25.9,1016.1,Porto
2022-03-25,16.3,13.5,20.9,,,106,6.4,20.4,1015.4,Porto
2022-03-26,15.2,11.2,20.6,,,229,7.2,20.4,1016.4,Porto
2022-03-27,15.1,9.2,21.8,,,,,,,Porto
2022-03-28,16.3,10.9,22.5,,,245,7,20.4,1016.8,Porto
2022-03-29,14.3,12,22.5,,,308,9.9,33.3,1011.6,Porto
2022-03-30,12.8,8.5,19.3,,,332,13.5,37,1010.6,Porto
2022-03-31,12.5,10.6,16.2,,,304,12.9,37,1011.9,Porto
2022-04-01,11.7,7.4,16.3,,,3,16,37,1018.4,Porto
2022-04-02,10.8,5.5,17.7,,,29,9.8,29.6,1021.2,Porto
2022-04-03,10.9,6.2,17.7,,,36,11.4,33.3,1017.6,Porto
2022-04-04,11.1,5.5,17.2,,,41,14,35.2,1015.6,Porto
2022-04-05,11.6,7.3,17,,,20,9.2,25.9,1015.3,Porto
2022-04-06,10.1,6.3,17,,,254,9.9,37,1018.6,Porto
2022-04-07,12.1,9.8,15,,,218,11.2,29.6,1023.9,Porto
2022-04-08,12.5,11.2,14.1,,,209,16.2,38.9,1020.9,Porto
2022-04-09,14,11.8,17.1,,,229,8.5,27.8,1018.8,Porto
2022-04-10,14.6,11.6,19.1,,,199,13.4,38.9,1010.4,Porto
2022-04-11,12.9,11.7,14.8,,,192,17.7,40.8,1003.9,Porto
2022-04-12,12.4,10.7,14.9,,,217,12.6,31.5,1008.6,Porto
2022-04-13,12.9,10.4,16.1,,,305,8.6,29.6,1017.7,Porto
2022-04-14,13.5,10.2,18.4,,,281,8.7,29.6,1021.1,Porto
2022-04-15,14.6,10.1,20.5,,,274,8.7,31.5,1022.9,Porto
2022-04-16,14.6,11.3,19.8,,,287,9.4,35.2,1023.8,Porto
2022-04-17,14.1,10.5,18.4,,,320,11.8,33.3,1021,Porto
2022-04-18,13.5,10.5,17.8,,,341,17.4,42.6,1018.5,Porto
2022-04-19,11.3,8.6,16,,,359,22.8,48.2,1018.8,Porto
2022-04-20,11.1,7.4,15.2,,,350,18.1,42.6,1017.4,Porto
2022-04-21,10.2,7.3,13.4,,,223,11.9,38.9,1012.4,Porto
2022-04-22,9.5,7.7,11.2,,,206,10.9,35.2,998.2,Porto
2022-04-23,10.5,7.3,14.1,,,243,10.9,35.2,1005.5,Porto
2022-04-24,12.1,9.4,15.5,,,221,9.3,25.9,1014.3,Porto
2022-04-25,13,9.4,17.3,,,221,8.8,27.8,1013.2,Porto
2022-04-26,13.2,11,16.5,,,204,10.3,27.8,1013.3,Porto
2022-04-27,13.4,11.4,16.1,,,235,9.5,29.6,1018.7,Porto
2022-04-28,15.1,10.5,20.7,,,337,9.1,29.6,1022.5,Porto
2022-04-29,17.8,12.8,24.3,,,263,8.8,31.5,1025,Porto
2022-04-30,17.2,13.3,22.4,,,270,9.5,35.2,1024.5,Porto
