date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,14.4,11.8,18,2,,230,12,,1014.2,Praia da Vitória
2022-01-02,15.7,13.6,17,25.1,,191,17.6,,1017.8,Praia da Vitória
2022-01-03,13.5,11.6,15.5,8.4,,340,19,,1023.4,Praia da Vitória
2022-01-04,12.6,9.6,16,,,196,8.3,,1029.1,Praia da Vitória
2022-01-05,15.8,12.6,19,,,216,11.9,,1029.2,Praia da Vitória
2022-01-06,14.4,13,15,2,,356,15.9,,1034.9,Praia da Vitória
2022-01-07,14.8,13,17,0,,119,9.8,,1036.7,Praia da Vitória
2022-01-08,13.6,9.7,17.5,,,219,5,,1033.5,Praia da Vitória
2022-01-09,14.1,11,16,,,181,17.1,,1024.5,Praia da Vitória
2022-01-10,15,13.6,17,3.3,,164,21.4,,1014.5,Praia da Vitória
2022-01-11,15.5,12,19,0.3,,113,18.9,,1023,Praia da Vitória
2022-01-12,15.8,14,18,,,113,25.4,,1025.4,Praia da Vitória
2022-01-13,15.6,14.1,17.5,0.8,,110,15.7,,1019.8,Praia da Vitória
2022-01-14,14.7,12.6,17,3,,340,14.6,,1021.5,Praia da Vitória
2022-01-15,13,12,14,4.1,,349,24.3,,1026,Praia da Vitória
2022-01-16,12.8,10.8,14.6,0.5,,21,14.2,,1022.5,Praia da Vitória
2022-01-17,13.5,10,15.5,0,,83,11,,1016.9,Praia da Vitória
2022-01-18,14.9,14,16,51.1,,128,18.4,,1009,Praia da Vitória
2022-01-19,15.9,13.6,18,37.1,,100,24,,1013,Praia da Vitória
2022-01-20,17,15.5,19.2,0,,109,24.1,,1019.3,Praia da Vitória
2022-01-21,16.3,15.6,17.2,,,95,19,,1024.2,Praia da Vitória
2022-01-22,15.4,13,18,,,83,13.8,,1023.1,Praia da Vitória
2022-01-23,14.7,12,18,0.8,,42,5.1,,1024.7,Praia da Vitória
2022-01-24,13.6,8.7,16,0,,48,5.3,,1031.3,Praia da Vitória
2022-01-25,13.7,10.7,16.2,,,56,6.3,,1035.2,Praia da Vitória
2022-01-26,15.2,14,16.1,0.5,,10,11.5,,1035,Praia da Vitória
2022-01-27,14.7,13.5,18,0.3,,36,9.1,,1033.3,Praia da Vitória
