Date;day;dayOfWeek;month;trimester;year;is_holiday;portugueseWeekName
01/01/2022;1;7;1;1;2022;1;S‡bado
02/01/2022;2;1;1;1;2022;0;Domingo
03/01/2022;3;2;1;1;2022;0;Segunda-feira
04/01/2022;4;3;1;1;2022;0;Tera-feira
05/01/2022;5;4;1;1;2022;0;Quarta-feira
06/01/2022;6;5;1;1;2022;0;Quinta-feira
07/01/2022;7;6;1;1;2022;0;Sexta-feira
08/01/2022;8;7;1;1;2022;0;S‡bado
09/01/2022;9;1;1;1;2022;0;Domingo
10/01/2022;10;2;1;1;2022;0;Segunda-feira
11/01/2022;11;3;1;1;2022;0;Tera-feira
12/01/2022;12;4;1;1;2022;0;Quarta-feira
13/01/2022;13;5;1;1;2022;0;Quinta-feira
14/01/2022;14;6;1;1;2022;0;Sexta-feira
15/01/2022;15;7;1;1;2022;0;S‡bado
16/01/2022;16;1;1;1;2022;0;Domingo
17/01/2022;17;2;1;1;2022;0;Segunda-feira
18/01/2022;18;3;1;1;2022;0;Tera-feira
19/01/2022;19;4;1;1;2022;0;Quarta-feira
20/01/2022;20;5;1;1;2022;0;Quinta-feira
21/01/2022;21;6;1;1;2022;0;Sexta-feira
22/01/2022;22;7;1;1;2022;0;S‡bado
23/01/2022;23;1;1;1;2022;0;Domingo
24/01/2022;24;2;1;1;2022;0;Segunda-feira
25/01/2022;25;3;1;1;2022;0;Tera-feira
26/01/2022;26;4;1;1;2022;0;Quarta-feira
27/01/2022;27;5;1;1;2022;0;Quinta-feira
28/01/2022;28;6;1;1;2022;0;Sexta-feira
29/01/2022;29;7;1;1;2022;0;S‡bado
30/01/2022;30;1;1;1;2022;0;Domingo
31/01/2022;31;2;1;1;2022;0;Segunda-feira
01/02/2022;1;3;2;1;2022;0;Tera-feira
02/02/2022;2;4;2;1;2022;0;Quarta-feira
03/02/2022;3;5;2;1;2022;0;Quinta-feira
04/02/2022;4;6;2;1;2022;0;Sexta-feira
05/02/2022;5;7;2;1;2022;0;S‡bado
06/02/2022;6;1;2;1;2022;0;Domingo
07/02/2022;7;2;2;1;2022;0;Segunda-feira
08/02/2022;8;3;2;1;2022;0;Tera-feira
09/02/2022;9;4;2;1;2022;0;Quarta-feira
10/02/2022;10;5;2;1;2022;0;Quinta-feira
11/02/2022;11;6;2;1;2022;0;Sexta-feira
12/02/2022;12;7;2;1;2022;0;S‡bado
13/02/2022;13;1;2;1;2022;0;Domingo
14/02/2022;14;2;2;1;2022;0;Segunda-feira
15/02/2022;15;3;2;1;2022;0;Tera-feira
16/02/2022;16;4;2;1;2022;0;Quarta-feira
17/02/2022;17;5;2;1;2022;0;Quinta-feira
18/02/2022;18;6;2;1;2022;0;Sexta-feira
19/02/2022;19;7;2;1;2022;0;S‡bado
20/02/2022;20;1;2;1;2022;0;Domingo
21/02/2022;21;2;2;1;2022;0;Segunda-feira
22/02/2022;22;3;2;1;2022;0;Tera-feira
23/02/2022;23;4;2;1;2022;0;Quarta-feira
24/02/2022;24;5;2;1;2022;0;Quinta-feira
25/02/2022;25;6;2;1;2022;0;Sexta-feira
26/02/2022;26;7;2;1;2022;0;S‡bado
27/02/2022;27;1;2;1;2022;0;Domingo
28/02/2022;28;2;2;1;2022;0;Segunda-feira
01/03/2022;1;3;3;1;2022;1;Tera-feira
02/03/2022;2;4;3;1;2022;0;Quarta-feira
03/03/2022;3;5;3;1;2022;0;Quinta-feira
04/03/2022;4;6;3;1;2022;0;Sexta-feira
05/03/2022;5;7;3;1;2022;0;S‡bado
06/03/2022;6;1;3;1;2022;0;Domingo
07/03/2022;7;2;3;1;2022;0;Segunda-feira
08/03/2022;8;3;3;1;2022;0;Tera-feira
09/03/2022;9;4;3;1;2022;0;Quarta-feira
10/03/2022;10;5;3;1;2022;0;Quinta-feira
11/03/2022;11;6;3;1;2022;0;Sexta-feira
12/03/2022;12;7;3;1;2022;0;S‡bado
13/03/2022;13;1;3;1;2022;0;Domingo
14/03/2022;14;2;3;1;2022;0;Segunda-feira
15/03/2022;15;3;3;1;2022;0;Tera-feira
16/03/2022;16;4;3;1;2022;0;Quarta-feira
17/03/2022;17;5;3;1;2022;0;Quinta-feira
18/03/2022;18;6;3;1;2022;0;Sexta-feira
19/03/2022;19;7;3;1;2022;0;S‡bado
20/03/2022;20;1;3;1;2022;0;Domingo
21/03/2022;21;2;3;1;2022;0;Segunda-feira
22/03/2022;22;3;3;1;2022;0;Tera-feira
23/03/2022;23;4;3;1;2022;0;Quarta-feira
24/03/2022;24;5;3;1;2022;0;Quinta-feira
25/03/2022;25;6;3;1;2022;0;Sexta-feira
26/03/2022;26;7;3;1;2022;0;S‡bado
27/03/2022;27;1;3;1;2022;0;Domingo
28/03/2022;28;2;3;1;2022;0;Segunda-feira
29/03/2022;29;3;3;1;2022;0;Tera-feira
30/03/2022;30;4;3;1;2022;0;Quarta-feira
31/03/2022;31;5;3;1;2022;0;Quinta-feira
01/04/2022;1;6;4;2;2022;0;Sexta-feira
02/04/2022;2;7;4;2;2022;0;S‡bado
03/04/2022;3;1;4;2;2022;0;Domingo
04/04/2022;4;2;4;2;2022;0;Segunda-feira
05/04/2022;5;3;4;2;2022;0;Tera-feira
06/04/2022;6;4;4;2;2022;0;Quarta-feira
07/04/2022;7;5;4;2;2022;0;Quinta-feira
08/04/2022;8;6;4;2;2022;0;Sexta-feira
09/04/2022;9;7;4;2;2022;0;S‡bado
10/04/2022;10;1;4;2;2022;0;Domingo
11/04/2022;11;2;4;2;2022;0;Segunda-feira
12/04/2022;12;3;4;2;2022;0;Tera-feira
13/04/2022;13;4;4;2;2022;0;Quarta-feira
14/04/2022;14;5;4;2;2022;0;Quinta-feira
15/04/2022;15;6;4;2;2022;1;Sexta-feira
16/04/2022;16;7;4;2;2022;0;S‡bado
17/04/2022;17;1;4;2;2022;1;Domingo
18/04/2022;18;2;4;2;2022;0;Segunda-feira
19/04/2022;19;3;4;2;2022;0;Tera-feira
20/04/2022;20;4;4;2;2022;0;Quarta-feira
21/04/2022;21;5;4;2;2022;0;Quinta-feira
22/04/2022;22;6;4;2;2022;0;Sexta-feira
23/04/2022;23;7;4;2;2022;0;S‡bado
24/04/2022;24;1;4;2;2022;0;Domingo
25/04/2022;25;2;4;2;2022;1;Segunda-feira
26/04/2022;26;3;4;2;2022;0;Tera-feira
27/04/2022;27;4;4;2;2022;0;Quarta-feira
28/04/2022;28;5;4;2;2022;0;Quinta-feira
29/04/2022;29;6;4;2;2022;0;Sexta-feira
30/04/2022;30;7;4;2;2022;0;S‡bado
01/05/2022;1;1;5;2;2022;1;Domingo
02/05/2022;2;2;5;2;2022;0;Segunda-feira
03/05/2022;3;3;5;2;2022;0;Tera-feira
04/05/2022;4;4;5;2;2022;0;Quarta-feira
05/05/2022;5;5;5;2;2022;0;Quinta-feira
06/05/2022;6;6;5;2;2022;0;Sexta-feira
07/05/2022;7;7;5;2;2022;0;S‡bado
08/05/2022;8;1;5;2;2022;0;Domingo
09/05/2022;9;2;5;2;2022;0;Segunda-feira
10/05/2022;10;3;5;2;2022;0;Tera-feira
11/05/2022;11;4;5;2;2022;0;Quarta-feira
