date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,16.5,16,17.6,1.7,,247,26,,1016.4,Açores
2022-01-02,17.3,15.5,18.6,1,,192,20.5,,1019.9,Açores
2022-01-03,14.8,11.2,18.4,14.5,,8,20.9,,1021.9,Açores
2022-01-04,12.9,7.9,16.5,0.8,,244,8.2,,1030.4,Açores
2022-01-05,15.4,13.7,16.6,0.1,,225,12.2,,1031.2,Açores
2022-01-06,14.9,13.5,16.2,0.8,,16,20.8,,1033.8,Açores
2022-01-07,14.8,13.2,16.3,0.3,,58,11.9,,1036.8,Açores
2022-01-08,14.7,13.2,16.7,0,,44,9.3,,1034.4,Açores
2022-01-09,14.8,13.3,17,0,,172,15.6,,1026.2,Açores
2022-01-10,16.1,14,18,1.8,,176,21.5,,1017.3,Açores
2022-01-11,17.1,14.9,19.5,0.3,,105,21.4,,1023.3,Açores
2022-01-12,15.3,13.5,17.4,3.6,,82,21.1,,1024.8,Açores
2022-01-13,15.3,13.3,18.6,3.3,,75,13.8,,1019.4,Açores
2022-01-14,16.1,14.3,18.6,0.8,,30,12.8,,1020.7,Açores
2022-01-15,13.6,10.8,18.4,3.8,,23,27.9,,1023.8,Açores
2022-01-16,13.3,10.8,15.4,0,,42,26.1,,1020,Açores
2022-01-17,15.4,12.2,18.8,1.8,,88,20.2,,1015.9,Açores
2022-01-18,16.3,13.7,18.8,46.2,,120,30.2,,1010.3,Açores
2022-01-19,15.9,13.8,17.9,15.2,,80,23.8,,1011.1,Açores
2022-01-20,17.2,15.3,19,0.8,,98,36.8,,1018,Açores
2022-01-21,16.1,14.4,19,0,,65,25,,1022.7,Açores
2022-01-22,15.4,13.9,18,0.5,,55,18.2,,1022.1,Açores
2022-01-23,14.5,10.7,17.5,0,,34,15.9,,1024.2,Açores
2022-01-24,15.2,13.6,17.9,0,,33,17.5,,1030.8,Açores
2022-01-25,14.7,12.6,18.1,0.5,,43,13.6,,1034.8,Açores
2022-01-26,14.6,12.6,18.1,1.5,,51,21.9,,1033.6,Açores
2022-01-27,14.6,11.9,17.2,0,,60,19.4,,1032.2,Açores
2022-01-28,13.8,11.6,17.2,1,,48,17.2,,1030.3,Açores
2022-01-29,14.4,12,17,1,,55,14.7,,1029.6,Açores
2022-01-30,13.8,11.6,17.6,21.1,,56,22.9,,1029.7,Açores
2022-01-31,15.3,11.6,17.4,5.8,,67,26.6,,1032.3,Açores
2022-02-01,14.9,12.7,17.9,0,,68,19.8,,1029.9,Açores
2022-02-02,14.4,11.8,17.9,0,,53,15.3,,1024.4,Açores
2022-02-03,15.5,13.4,17.8,0,,56,26,,1022,Açores
2022-02-04,15.2,13.7,17.8,0,,54,23.7,,1026.4,Açores
2022-02-05,14.9,12.5,17.9,0,,57,21.2,,1029.6,Açores
2022-02-06,15.6,13.9,18.5,0.5,,77,27.3,,1030.2,Açores
2022-02-07,15.2,13.1,18.5,2,,95,21.3,,1028.1,Açores
2022-02-08,14.6,12.9,18.1,0.3,,56,13.3,,1024.4,Açores
2022-02-09,14.3,12.2,17.5,0,,32,19.6,,1024.9,Açores
2022-02-10,14.3,12.1,17.7,0.3,,57,18.2,,1029.5,Açores
2022-02-11,14.4,12,17.7,0,,27,8.3,,1032.2,Açores
2022-02-12,15.4,14,16.7,0,,266,20.9,,1029.7,Açores
2022-02-13,15.5,13.6,17.4,4.8,,343,22,,1027.7,Açores
2022-02-14,13.9,11,17.4,0.3,,344,10.6,,1030.4,Açores
2022-02-15,14.9,10.3,17.9,0,,260,14.7,,1032.4,Açores
2022-02-16,15.9,14.9,17.9,0.7,,245,18.6,,1032,Açores
2022-02-17,15.1,11.4,17,1.8,,276,26.6,,1028,Açores
2022-02-18,11.3,8.8,17,0,,19,23.4,,1036.4,Açores
2022-02-19,12.9,10,15.9,0,,26,13.7,,1040.4,Açores
2022-02-20,12.6,9,15.9,0,,13,16.3,,1040,Açores
2022-02-21,13.7,10.9,17.7,0.3,,26,17.9,,1037.1,Açores
2022-02-22,13.8,9.9,17.7,0,,34,18.5,,1033.4,Açores
2022-02-23,13.8,12.2,15.7,9.7,,30,21.8,,1029.3,Açores
2022-02-24,14.1,11.8,17.7,0.5,,54,22.8,,1031.4,Açores
2022-02-25,14.3,10.7,17.7,0.5,,79,13.7,,1029.5,Açores
2022-02-26,15.6,13.9,17.3,1.5,,266,20.3,,1024.9,Açores
2022-02-27,16.6,15.7,17.7,4.3,,243,30.8,,1022,Açores
2022-02-28,16.4,14,17.9,2.8,,262,21.8,,1023.5,Açores
2022-03-01,16.7,14,18.7,0.3,,254,21.3,,1027.1,Açores
2022-03-02,16,12.6,18.7,1,,315,24.6,,1029,Açores
2022-03-03,14.1,10.2,18.2,0.5,,207,13.2,,1033.3,Açores
2022-03-04,16.2,14.8,18.2,1.5,,267,14.5,,1030.8,Açores
2022-03-05,16.2,14.8,18.2,2.8,,285,15.1,,1028.5,Açores
2022-03-06,16.3,14.7,18.3,0.5,,265,17.4,,1022.7,Açores
2022-03-07,14.5,11.7,18.3,1.5,,293,28.6,,1020,Açores
2022-03-08,15.1,12.2,17.1,1,,252,38.5,,1015.4,Açores
2022-03-09,15.5,11.6,17.1,0,,284,18.5,,1017.4,Açores
2022-03-10,15.8,13,17,1.5,,287,31.4,,1017.4,Açores
2022-03-11,15,12.7,17,1.3,,267,28.2,,1018.9,Açores
2022-03-12,14.8,10.8,17.2,4.8,,348,13.9,,1021,Açores
2022-03-13,13.2,9.4,17.2,0,,340,18.7,,1028.4,Açores
2022-03-14,13.3,11,16.9,0,,347,13,,1029.5,Açores
2022-03-15,14.8,12.2,17.9,0.5,,330,15.3,,1027.7,Açores
2022-03-16,13.9,11.5,16.5,0,,88,14.5,,1032.3,Açores
2022-03-17,15.1,13.4,16.8,0,,149,28,,1026.9,Açores
2022-03-18,14.6,9.2,16.6,14.8,,248,35.6,,1016.4,Açores
2022-03-19,11.8,8.8,16.6,1.5,,341,19.2,,1022.1,Açores
2022-03-20,13.7,9,16.7,2,,248,22.6,,1017.8,Açores
2022-03-21,14.3,12.5,16.7,0,,299,26.9,,1017.1,Açores
2022-03-22,14.6,11.5,17.4,0.5,,323,19.6,,1022.9,Açores
2022-03-23,15.1,12.2,18.4,0.3,,338,11.3,,1026.3,Açores
2022-03-24,14.6,10.5,18.4,0,,128,13.1,,1021.9,Açores
2022-03-25,15.8,14.9,18,9.6,,150,32.7,,1011.4,Açores
2022-03-26,15.3,13.7,16.7,15.5,,121,33.9,,1001.4,Açores
2022-03-27,16.1,13.9,18.6,0.3,,,,,,Açores
2022-03-28,15.8,14,18.6,0,,19,17.3,,1020.2,Açores
2022-03-29,14.7,11.2,18.4,1.8,,323,12.4,,1023.2,Açores
2022-03-30,16,12.7,19.4,0.8,,14,13.6,,1023,Açores
2022-03-31,15.8,14,19.4,1.3,,213,8,,1022.7,Açores
2022-04-01,15.8,14.5,19,5.1,,166,21.6,,1014.6,Açores
2022-04-02,14.3,11.3,17.4,23.1,,106,10.6,,1006.1,Açores
2022-04-03,15.3,12.7,18.1,1.3,,57,16.8,,1012.7,Açores
2022-04-04,14.6,11.2,18.1,0,,59,10.7,,1024.1,Açores
2022-04-05,14.1,10.5,17.6,0,,337,7.9,,1026.8,Açores
2022-04-06,14.9,10.7,18.2,1.7,,273,16.5,,1024.9,Açores
2022-04-07,16.4,15,17.5,0,,225,34.8,,1020.1,Açores
2022-04-08,16.4,15,17.2,7.5,,230,25.6,,1016.4,Açores
2022-04-09,15.2,12.2,17.5,0,,251,41.1,,1005.5,Açores
2022-04-10,13.7,10.1,15.6,8.9,,295,39.1,,1003.9,Açores
2022-04-11,14.8,12.8,16.8,0.5,,304,27.9,,1011.8,Açores
2022-04-12,15.9,15,18.1,3,,273,19,,1017.8,Açores
2022-04-13,16.3,14.8,18.4,0,,213,25.6,,1016.8,Açores
2022-04-14,15.5,10.6,18.8,0.2,,210,13.8,,1020,Açores
2022-04-15,17,16,18.6,0,,228,18.2,,1018.9,Açores
2022-04-16,16.2,12.1,19.8,0,,19,13.2,,1023.1,Açores
2022-04-17,16.5,14.8,19.2,0,,33,26.2,,1027.5,Açores
2022-04-18,15.2,13.3,17.2,0,,50,22.2,,1030.7,Açores
2022-04-19,15.1,13.3,17.7,0,,78,19.1,,1031.6,Açores
2022-04-20,15,13,17.9,1,,64,9.1,,1030.7,Açores
2022-04-21,14.3,11.1,17.4,0.9,,331,16.4,,1023.5,Açores
2022-04-22,13.9,12.4,16.9,0,,325,16.3,,1016,Açores
2022-04-23,14.3,12.9,16.7,0,,268,18.8,,1012.3,Açores
2022-04-24,14.6,12.6,17,2,,284,26.7,,1008.2,Açores
2022-04-25,14.9,13,17.1,0.5,,302,22.8,,1010.3,Açores
