date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,15.5,12.4,18,,,68,13.1,29.6,1026.6,Albufeira
2022-01-02,13.1,11.1,15.4,,,341,6.4,18.5,1028.7,Albufeira
2022-01-03,13.9,10.9,18.6,,,33,6.5,20.4,1025.9,Albufeira
2022-01-04,14,12,17,,,312,12.8,42.6,1021.1,Albufeira
2022-01-05,12.7,8.1,16.5,,,283,16.5,35.2,1023.8,Albufeira
2022-01-06,12.8,9.5,16.7,,,318,12,34,1021.9,Albufeira
2022-01-07,11.8,7.9,16.5,,,358,10,30,1026.4,Albufeira
2022-01-08,12.4,8.5,16.7,,,34,10.2,29,1029.3,Albufeira
2022-01-09,10.6,5.5,16.2,,,333,7.8,24.1,1028.3,Albufeira
2022-01-10,12.5,7.3,17.9,,,316,9.9,22.2,1023.8,Albufeira
2022-01-11,15,10.5,19.5,,,42,14.6,51,1021.7,Albufeira
2022-01-12,13.8,10.7,17.2,,,65,16.5,35.2,1024.5,Albufeira
2022-01-13,13.2,10.2,16.1,,,80,28.6,50,1026.4,Albufeira
2022-01-14,13.1,11,15.6,,,79,24.5,50,1027.1,Albufeira
2022-01-15,12.9,11.1,15.4,,,67,19.2,37,1026.3,Albufeira
2022-01-16,12.9,10.5,15.4,,,65,15,33.3,1028.9,Albufeira
2022-01-17,12.5,9.2,15.3,,,57,14.9,33.3,1029.6,Albufeira
2022-01-18,12,9.6,15.1,,,60,17.1,37,1028.5,Albufeira
2022-01-19,11.8,9.2,15,,,57,10.9,25.9,1029,Albufeira
2022-01-20,11,6.5,15.6,,,46,10.5,31.5,1025.8,Albufeira
2022-01-21,11.6,7.5,15.4,,,55,13.2,31.5,1023.1,Albufeira
2022-01-22,13.1,10.2,16.4,,,70,24.9,53,1022.8,Albufeira
2022-01-23,13.8,12,16.9,,,74,25.9,51,1021.2,Albufeira
2022-01-24,13.5,11.1,15.5,,,68,16.8,35.2,1023.5,Albufeira
2022-01-25,14,11.2,16.9,,,57,17,40.8,1025.3,Albufeira
2022-01-26,14.5,11.7,17.3,,,57,17,39,1023.1,Albufeira
2022-01-27,14.5,12,17.7,,,68,20.3,41,1023.2,Albufeira
2022-01-28,14,10.9,18,,,60,19.2,42.6,1025.1,Albufeira
2022-01-29,14.8,12,18,,,77,25.5,50,1026.8,Albufeira
2022-01-30,15.6,11.8,19.3,,,61,18.9,42,1026,Albufeira
2022-01-31,13.7,8.7,18.2,,,305,6.6,22.2,1027.3,Albufeira
2022-02-01,13,7.5,17.3,,,28,10.5,36,1027,Albufeira
2022-02-02,13.6,10.6,18.4,0,,60,14.7,35.2,1025.8,Albufeira
2022-02-03,14,9.5,17.7,,,331,6.8,22.2,1023.5,Albufeira
2022-02-04,13.7,12.4,15.9,,,313,4.7,22.2,1024,Albufeira
2022-02-05,14,9.9,19.4,,,311,10.2,29.6,1024.2,Albufeira
