date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,16.6,14,19,,,143,16.5,42.6,1024.7,Alcanena
2022-01-02,14.5,12,19,,,180,6.4,22.2,1028.8,Alcanena
2022-01-03,12.7,9,19,,,162,7.5,29.6,1024.7,Alcanena
2022-01-04,12,10.4,15.3,,,316,14.3,42.6,1018.8,Alcanena
2022-01-05,11.6,7.3,14.7,,,305,12.8,40.8,1022.2,Alcanena
2022-01-06,9.6,5,13.7,,,357,6.6,25.9,1023.5,Alcanena
2022-01-07,9.7,5.9,14.5,,,22,9,42.6,1029.1,Alcanena
2022-01-08,6.9,1,13,,,50,6.6,27.8,1031.5,Alcanena
2022-01-09,11.6,6.6,15,,,276,7.3,25.9,1028.6,Alcanena
2022-01-10,12.7,11,13.1,,,338,14.3,37,1025.4,Alcanena
2022-01-11,11.2,8,17,,,3,6.4,24.1,1025,Alcanena
2022-01-12,10.5,5,18,,,100,5.9,25.9,1026,Alcanena
2022-01-13,10.4,6.8,15.5,,,124,9,33.3,1028.6,Alcanena
2022-01-14,9.3,5.7,14,,,140,9.7,31.5,1029.2,Alcanena
2022-01-15,11.3,8.7,15,,,141,19.6,35.2,1026.2,Alcanena
2022-01-16,11.9,8,16.4,,,135,13.7,35.2,1028.9,Alcanena
2022-01-17,9.7,4,17.1,,,116,4.7,20.4,1030.7,Alcanena
2022-01-18,8.9,4,17,,,144,8.4,22.2,1029.6,Alcanena
2022-01-19,7.5,2,15.4,,,137,6.4,20.4,1029.9,Alcanena
2022-01-20,7.8,1,18,,,113,5.4,20.4,1027.1,Alcanena
2022-01-21,8.3,2,15.1,,,78,6,25.9,1024.5,Alcanena
2022-01-22,9.1,4.5,15,,,125,10.3,35.2,1025.3,Alcanena
2022-01-23,9.8,4.8,16.3,,,134,14.7,25.9,1023.5,Alcanena
2022-01-24,8.1,2,15,,,46,5.2,25.9,1025.6,Alcanena
2022-01-25,8,2,16,,,85,6.7,25.9,1028.4,Alcanena
2022-01-26,9.5,2.2,16.4,,,92,6.4,29.6,1026.3,Alcanena
2022-01-27,11.8,7,18,,,35,8.5,29.6,1026.1,Alcanena
