date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,16.5,14.6,19.9,,,153,18.6,38.9,1024.6,Aveiro
2022-01-02,14.6,11.8,16.9,,,167,9.3,20.4,1029,Aveiro
2022-01-03,13.8,11.9,16.3,,,164,15.2,37,1025.1,Aveiro
2022-01-04,12.1,10.3,14,,,298,18.3,42.6,1018.6,Aveiro
2022-01-05,10.4,8.5,12.7,,,313,11.3,33.3,1021.9,Aveiro
2022-01-06,9.7,7.3,12.3,,,25,7.1,16.7,1024,Aveiro
2022-01-07,10.3,8.4,13.9,,,8,15.3,38.9,1030.2,Aveiro
2022-01-08,8.6,4.9,12.3,,,42,6.9,20.4,1032.3,Aveiro
2022-01-09,11.7,9.1,13.8,,,244,8.4,22.2,1028.6,Aveiro
2022-01-10,13,10.9,14.7,,,333,11.7,29.6,1026.4,Aveiro
2022-01-11,11.8,9,16.1,,,22,9.1,24.1,1026.4,Aveiro
2022-01-12,11.3,8.6,15.8,,,73,10.4,25.9,1027.7,Aveiro
2022-01-13,10.2,7,14.9,,,109,11.9,27.8,1029.6,Aveiro
2022-01-14,9.4,6.5,13.9,,,109,11.2,25.9,1030.1,Aveiro
2022-01-15,10.6,7.8,14.1,,,127,13.9,29.6,1026.8,Aveiro
2022-01-16,12.2,10.2,15.1,,,131,14,27.8,1029,Aveiro
2022-01-17,10.7,7.2,15.4,,,110,7.8,16.7,1031.9,Aveiro
2022-01-18,9.6,6.1,15.2,,,107,7.7,20.4,1030.6,Aveiro
2022-01-19,9.1,5.2,14.9,,,101,7.9,18.5,1030.8,Aveiro
2022-01-20,9.9,5.7,15.9,,,70,8,18.5,1028.3,Aveiro
2022-01-21,9.3,6,13.6,,,75,12.6,27.8,1026.4,Aveiro
2022-01-22,8.7,4.9,13.8,,,92,13.3,29.6,1026.9,Aveiro
2022-01-23,8.9,5.3,14.5,,,79,8.7,18.5,1024.9,Aveiro
2022-01-24,8.3,4.1,13.8,,,74,7.5,20.4,1026.4,Aveiro
2022-01-25,8.9,5.1,14,,,64,7.6,22.2,1029.5,Aveiro
2022-01-26,9.2,5.6,14.4,,,70,8.1,20.4,1027.7,Aveiro
2022-01-27,10.4,6.5,16,,,60,8.6,20.4,1027.5,Aveiro
2022-01-28,10.5,6.3,16.6,,,69,9.9,22.2,1029.3,Aveiro
2022-01-29,10.5,5.4,17.4,,,80,10.1,22.2,1030.9,Aveiro
2022-01-30,10.7,6.3,17.2,,,73,7.8,20.4,1029.1,Aveiro
2022-01-31,10.2,6.6,15.7,,,358,8.2,25.9,1030.1,Aveiro
2022-02-01,10.7,6.1,16.3,,,46,10.7,27.8,1030.7,Aveiro
2022-02-02,12.2,8.2,17.9,,,146,9.5,24.1,1027.3,Aveiro
2022-02-03,11.5,9.7,14.6,,,177,7.2,18.5,1024.5,Aveiro
2022-02-04,10.9,8.7,13.8,,,37,8.7,29.6,1025.4,Aveiro
2022-02-05,10.5,7.1,14.6,,,9,11.2,33.3,1026.9,Aveiro
2022-02-06,9.9,5.9,14.7,,,20,10.3,29.6,1029.5,Aveiro
2022-02-07,10.9,5.8,17.7,,,39,8.7,22.2,1029.3,Aveiro
2022-02-08,11.9,7.1,18.7,,,98,9.4,24.1,1027.1,Aveiro
2022-02-09,12.7,8.8,18.4,,,154,8.9,22.2,1028.3,Aveiro
2022-02-10,12.5,8.8,17.1,,,162,7.6,20.4,1027.6,Aveiro
2022-02-11,12.2,9.7,15.9,,,113,6.5,24.1,1026.5,Aveiro
2022-02-12,11.4,9.8,13.8,,,357,7.2,22.2,1024.3,Aveiro
2022-02-13,11.1,9.1,13,,,184,15.1,40.8,1019.8,Aveiro
2022-02-14,10.4,8.1,13,,,341,11,35.2,1024.1,Aveiro
2022-02-15,9.9,6.5,13.2,,,171,7.3,20.4,1030.8,Aveiro
2022-02-16,12,9,14.6,,,212,8.5,22.2,1031.7,Aveiro
2022-02-17,13,11.3,15.4,,,295,7.2,22.2,1028.6,Aveiro
2022-02-18,11.3,9.8,13.2,,,32,15.6,46.3,1023,Aveiro
2022-02-19,10.1,7.2,13.3,,,357,24.6,53.7,1027,Aveiro
2022-02-20,10.6,6.5,15.1,,,9,12.8,35.2,1030.9,Aveiro
2022-02-21,12,8.5,16.5,,,1,14.1,38.9,1030.4,Aveiro
2022-02-22,13.3,8.7,19.5,,,36,9.2,25.9,1028.2,Aveiro
2022-02-23,13.6,9.8,18.7,,,66,7.8,20.4,1021.7,Aveiro
2022-02-24,12.8,10.5,16,,,352,12,37,1020.3,Aveiro
2022-02-25,13.4,10.5,17.1,,,32,11.7,27.8,1021.4,Aveiro
2022-02-26,12,9.2,15,,,81,7.7,20.4,1020,Aveiro
2022-02-27,11.6,9,14.8,,,3,6.9,22.2,1023.1,Aveiro
2022-02-28,11.8,8.1,15.7,,,164,7.2,22.2,1026.3,Aveiro
2022-03-01,12.9,10.8,15.3,,,192,11.2,29.6,1025.7,Aveiro
2022-03-02,12.1,9.8,14.4,,,217,7.3,22.2,1025.8,Aveiro
2022-03-03,12,9.6,13.3,,,318,25.4,63,1021.7,Aveiro
2022-03-04,9.9,7.2,12.6,,,352,21.5,48.2,1025.2,Aveiro
2022-03-05,9.8,7.4,12.1,,,31,9.2,24.1,1018.8,Aveiro
2022-03-06,9.8,5.5,14.1,,,27,14.1,37,1016.6,Aveiro
2022-03-07,9.6,4.8,12.9,,,157,10.5,31.5,1014.1,Aveiro
2022-03-08,11.5,9.9,13.6,,,226,11.2,25.9,1017.1,Aveiro
2022-03-09,12.5,11.2,14.2,,,177,20,42.6,1018,Aveiro
2022-03-10,13.3,11.6,14.8,,,171,21.3,46.3,1016.2,Aveiro
2022-03-11,12.9,11.1,13.8,,,262,13.4,42.6,1014.7,Aveiro
2022-03-12,10.9,9.7,12.5,,,191,16.4,44.5,1014.5,Aveiro
2022-03-13,11.2,8.4,13.9,,,209,12.4,33.3,1014.3,Aveiro
2022-03-14,10.8,8.4,13.3,,,60,12.4,29.6,1008.7,Aveiro
2022-03-15,12.9,8.4,17.5,,,8,12.4,37,1011.3,Aveiro
2022-03-16,13.2,11.6,15.7,,,343,22.9,57.4,1016.7,Aveiro
2022-03-17,13.9,10.4,18.7,,,10,18.2,38.9,1023.3,Aveiro
2022-03-18,13.5,8.2,18.9,,,57,12.4,27.8,1023.6,Aveiro
2022-03-19,15,10.7,20.2,,,122,12.4,31.5,1020.6,Aveiro
2022-03-20,14.9,12.1,17.9,,,109,14.1,33.3,1015.5,Aveiro
2022-03-21,13.9,12.2,16,,,100,9.9,24.1,1015.5,Aveiro
2022-03-22,12.9,11.8,14.8,,,157,12.8,31.5,1016.7,Aveiro
2022-03-23,13.4,11.7,15.4,,,93,12.5,27.8,1015.2,Aveiro
2022-03-24,14.1,9.7,18.1,,,45,10.7,25.9,1015.3,Aveiro
2022-03-25,14.9,11.8,18.4,,,46,9.2,22.2,1014.8,Aveiro
2022-03-26,15,11.4,19.6,,,83,8.9,22.2,1016.2,Aveiro
2022-03-27,,,,,,,,,,Aveiro
2022-03-28,15.1,12.3,17.8,,,69,10.6,24.1,1016.4,Aveiro
2022-03-29,13.6,11.6,16.3,,,340,14.6,44.5,1011.2,Aveiro
2022-03-30,13.1,10.9,15.4,,,334,21.5,46.3,1010.6,Aveiro
2022-03-31,12.5,11.1,14.2,,,323,19.1,48.2,1012.3,Aveiro
2022-04-01,11.7,9.2,14.4,,,352,20.5,48.2,1018,Aveiro
2022-04-02,10.7,5.2,15.4,,,31,14.9,35.2,1020.2,Aveiro
2022-04-03,10.7,5.5,15.2,,,41,16,44.5,1016.6,Aveiro
2022-04-04,10.3,4.5,15.6,,,44,19.8,42.6,1014.5,Aveiro
2022-04-05,10.6,6.2,13.9,,,27,12.4,27.8,1014.4,Aveiro
2022-04-06,11.5,7.7,14.8,,,275,11,38.9,1018.7,Aveiro
2022-04-07,13.3,10.6,15.9,,,232,10.9,27.8,1023.8,Aveiro
2022-04-08,14,12.8,15.1,,,210,17.9,42.6,1021.1,Aveiro
2022-04-09,14.6,13.1,16.6,,,222,9.5,24.1,1018.7,Aveiro
2022-04-10,15.3,13.1,18.8,,,168,17,46.3,1009.9,Aveiro
2022-04-11,14.5,13.5,15.7,,,180,20.5,40.8,1003.7,Aveiro
2022-04-12,13.7,12.3,15.5,,,221,13.7,35.2,1008.9,Aveiro
2022-04-13,13.6,11.2,16.3,,,340,13.8,40.8,1017.6,Aveiro
2022-04-14,14.1,11.9,16.8,,,346,12.7,33.3,1021.1,Aveiro
2022-04-15,14.2,11.2,17.8,,,345,10.8,33.3,1023,Aveiro
2022-04-16,14.3,11.3,17.8,,,337,12.3,38.9,1023.9,Aveiro
