date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,6.8,0.6,14.1,0,,54,3.5,,1030,
2022-01-02,8.5,4.6,14.6,0,,193,4.8,,1030.5,
2022-01-03,7.7,3,14.7,0,,295,4.1,,1026.4,
2022-01-04,6.5,4.6,9,2,,249,15.2,,1016.3,
2022-01-05,5.3,3.7,7.5,5,,263,11,,1020.6,
2022-01-06,1.4,-1.2,3.1,0,,61,4.2,,1025.9,
2022-01-07,3.4,-0.2,9.2,0,,78,5.9,,1031.9,
2022-01-08,2.4,-2.5,8.5,0,,223,8.7,,1032.2,
2022-01-09,8.8,5.5,11.7,1.3,,219,11,,1025.8,
2022-01-10,11.5,8.1,16.2,0,,275,9.2,,1024.5,
2022-01-11,7.5,0.7,13.7,0,,241,5,,1029.3,
2022-01-12,7.3,2.6,11.7,0,,55,9.9,,1031.7,
2022-01-13,5.2,0.6,11.7,0,,353,5.6,,1033.6,
2022-01-14,3,-2.4,9,0,,352,5.9,,1034,
2022-01-15,1,-4.7,8.1,0,,33,3.6,,1031.4,
2022-01-16,1.9,-3,8.7,0,,358,3.2,,1034.2,
2022-01-17,3.4,-2,11,0,,27,4.2,,1035.6,
2022-01-18,2.9,-3,11.7,0,,353,3.8,,1034.3,
2022-01-19,4,-4,14.7,0,,131,4.5,,1034.2,
2022-01-20,4.1,-2.7,12.7,0,,101,5.1,,1032.4,
2022-01-21,3.2,-0.7,8.2,0,,77,8,,1031,
2022-01-22,2.9,-1.7,9.2,0,,59,7.4,,1031.7,
2022-01-23,3.1,-4.4,11.5,0,,176,3.9,,1028.2,
2022-01-24,2.7,-4,10.1,0,,332,4.5,,1029.7,
2022-01-25,4.7,-0.7,10.5,0,,47,7.1,,1032.5,
2022-01-26,5.8,0.5,11.2,0,,39,6.2,,1030.9,
2022-01-27,7.5,2.2,14.2,0,,17,6.5,,1031,
2022-01-28,8.3,3.7,14.5,0,,20,10.1,,1033.5,
2022-01-29,8.9,3.1,16.7,0,,40,6,,1034.4,
2022-01-30,7,-1,16.6,0,,158,4.8,,1031.9,
2022-01-31,5.1,-3,15.7,0,,185,5.3,,1033,
2022-02-01,6.2,-2.2,14.6,0,,113,8,,1035.1,
2022-02-02,9.7,1.3,18.5,0,,144,7.1,,1029.4,
2022-02-03,6.8,0.5,14.2,0,,262,6.2,,1025.1,
2022-02-04,7.5,3.7,13.5,0,,296,7.8,,1024.5,
2022-02-05,6.7,1.5,13.2,0,,163,7.2,,1029.1,
2022-02-06,4.2,-3,12.5,0,,37,4.7,,1033.3,
2022-02-07,5.9,-2.7,16.1,0,,352,5,,1034,
2022-02-08,7.1,0.1,15.2,0,,280,5,,1031.5,
2022-02-09,6.9,-0.5,16.5,0,,330,4.7,,1031.3,
2022-02-10,7.7,0,16.5,0.5,,274,5.7,,1029.6,
2022-02-11,9.2,3,15.1,0,,66,6.2,,1027.4,
2022-02-12,8.6,4.5,14,0.2,,268,5.7,,1024.1,
2022-02-13,4.7,-0.2,8.1,4.2,,179,12.2,,1019.3,
2022-02-14,5.7,3.2,9.6,0.2,,280,14.4,,1022.2,
2022-02-15,5.1,-1.9,9.2,0,,286,8.9,,1030.2,
2022-02-16,9.3,6.2,12.7,0,,250,10.8,,1030,
2022-02-17,11.1,5.5,16.6,0,,259,8.6,,1027.2,
