date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,10.4,4.7,19.4,0,,96,4.5,16.7,1027.6,
2022-01-02,10,3.9,18.8,0,,317,3.1,9.3,1029.8,
2022-01-03,10.5,5.3,19.4,0,,8,2.2,11.1,1026.8,
2022-01-04,8.4,3.2,12.5,1.8,,250,8.1,44.5,1019.6,
2022-01-05,9.6,5.1,13.6,0,,262,10.9,31.5,1022.1,
2022-01-06,8.3,3.8,13.7,0,,287,7.6,29.6,1021.8,
2022-01-07,7.5,1.6,14.4,0,,327,5.2,22.2,1027.9,
2022-01-08,5.9,-0.6,13.8,0,,272,3.9,14.8,1031.2,
2022-01-09,7.9,1.3,14.4,0,,264,8.4,31.5,1028.6,
2022-01-10,12.9,8.2,18.4,0,,279,8.6,20.4,1023.9,
2022-01-11,10.2,5.1,16.1,0,,68,7.5,25.9,1024.6,
2022-01-12,8.1,1.9,16.2,0,,65,5.9,27.8,1027,
2022-01-13,7.4,3,14.1,0,,97,11.9,35.2,1029.9,
2022-01-14,6.7,1.3,13.7,0,,91,10.6,31.5,1030.4,
2022-01-15,8.6,2,15.5,0,,91,7.3,22.2,1028.4,
2022-01-16,6.6,0.9,15.2,0,,48,4.2,14.8,1030.8,
2022-01-17,5.8,-0.2,15,0,,83,5.5,22.2,1031.9,
2022-01-18,5.5,-1.4,15.3,0,,78,4.9,16.7,1030.6,
2022-01-19,5.1,-2.2,15.4,0,,4,3,11.1,1030.7,
2022-01-20,5.2,-2.6,16.3,0,,40,5.1,22.2,1027.9,
2022-01-21,5.6,-0.8,14.6,0,,61,5,24.1,1025.5,
2022-01-22,6.4,-1,15.2,0,,89,11,35.2,1026.5,
2022-01-23,6.7,-0.2,15.2,0,,90,9.4,29.6,1024.6,
2022-01-24,7.3,1.4,14.9,0,,70,7.8,29.6,1025.7,
2022-01-25,7.7,0.9,15.5,0,,49,7.5,29.6,1028.4,
2022-01-26,8.4,2,15,0,,68,10.6,33.3,1026.6,
2022-01-27,11,5.9,16.8,0,,75,11.5,33.3,1026.1,
2022-01-28,9.3,2.8,17.2,0,,82,10.4,35.2,1028.3,
2022-01-29,8.8,0.9,18.3,0,,86,10.5,33.3,1030.4,
2022-01-30,8.4,1.1,19.1,0,,95,5.4,20.4,1028.6,
2022-01-31,8.6,-0.3,19.8,0,,267,4.3,20.4,1028.6,
2022-02-01,8.4,-0.7,19,0,,67,4.3,18.5,1028.9,
2022-02-02,9.1,0.5,20,0,,82,5.1,18.5,1027.7,
2022-02-03,8.9,1.5,15.7,0,,234,3.9,13,1024.3,
2022-02-04,11,7.4,14.6,0,,251,6.2,18.5,1024.1,
2022-02-05,9.6,4.9,15.9,0,,264,5.1,16.7,1024.8,
2022-02-06,8.9,1,18.9,0,,38,4.5,24.1,1027.5,
2022-02-07,9.3,0.4,20.3,0,,71,5.2,22.2,1028.5,
2022-02-08,9.9,0.1,21,0,,93,7.6,25.9,1027.3,
2022-02-09,10.5,3.1,20.2,0,,83,6.4,20.4,1028.8,
2022-02-10,9.8,1.6,20.2,0,,359,3.8,13,1028,
2022-02-11,11.7,4.2,21.5,0,,232,4.2,16.7,1025.7,
2022-02-12,10.8,4.4,16.9,0,,262,5.1,18.5,1024.1,
2022-02-13,10.8,6.1,15.8,0.8,,231,6.2,24.1,1021.6,
2022-02-14,10.4,6.1,16.3,0,,268,10.6,37,1023,
2022-02-15,8.4,0.8,16.7,0,,255,5.6,20.4,1029.9,
2022-02-16,10.7,5.2,17.8,0,,265,9,29.6,1031.2,
2022-02-17,11.6,6,18.3,0,,243,6.2,16.7,1027.5,
2022-02-18,10.1,4.2,17,0,,272,5.3,24.1,1020.8,
2022-02-19,11.6,6.5,18.5,0,,309,13.4,38.9,1021,
2022-02-20,10.4,1,19.5,0,,19,6.7,25.9,1028.5,
2022-02-21,10.8,1.4,20.9,0,,52,5.2,16.7,1028.4,
2022-02-22,11.8,1.8,23.1,0,,74,8.9,35.2,1027.4,
2022-02-23,11.8,4.3,22.1,0,,48,5.5,25.9,1021.9,
2022-02-24,10,4.2,16.5,1.4,,29,3.5,18.5,1020.3,
2022-02-25,13.1,8.7,19.9,0,,74,12.7,40.8,1019.8,
2022-02-26,12.8,8.8,17.5,0,,63,9.4,27.8,1018.6,
2022-02-27,11.6,5.7,19.6,0,,34,4.3,18.5,1021.6,
2022-02-28,11.7,2.9,22,0,,88,5.1,20.4,1025.5,
2022-03-01,11.8,3.3,20.3,0,,267,4.1,16.7,1026.1,
2022-03-02,12.9,7.3,19.6,0,,266,8.7,25.9,1024.6,
2022-03-03,11.3,6.8,15.4,3.2,,258,17.1,53.7,1019.7,
2022-03-04,10.6,4.9,17.3,0,,308,15.9,40.8,1020.6,
2022-03-05,10.3,5.2,17.8,0,,248,5.5,18.5,1017.1,
2022-03-06,9.9,4,17.6,0,,328,6.6,25.9,1013.5,
2022-03-07,10.1,3.2,17.1,1.6,,252,6.4,24.1,1013.6,
2022-03-08,11.6,6.9,17.1,0,,241,7.2,25.9,1018.4,
2022-03-09,11.8,4.2,19.1,0,,211,5.7,22.2,1020.6,
2022-03-10,13.3,5.2,20.2,2.2,,191,7.1,27.8,1019.6,
2022-03-11,12.1,7.5,15.2,3,,228,11,33.3,1015.8,
2022-03-12,10.5,5.3,14.6,6.8,,213,6.8,29.6,1017.5,
2022-03-13,11.8,7.3,16.9,2.2,,248,6,22.2,1015.1,
2022-03-14,10.6,7.9,14.4,2.6,,63,9.1,27.8,1007.5,
2022-03-15,12.8,8,18.4,0,,75,8.7,29.6,1009.5,
2022-03-16,14.2,12.1,15.7,0,,1,8.3,31.5,1013.9,
2022-03-17,13.5,9.8,17.8,0,,3,12.1,38.9,1019.6,
2022-03-18,12.2,6.8,18.2,0,,63,11.5,35.2,1022.8,
2022-03-19,13.8,7,20.8,0,,90,15.3,37,1020.9,
2022-03-20,13.5,9.3,20.6,18.2,,95,16.7,50,1016.3,
2022-03-21,11.7,8.7,16.1,25.2,,131,10.3,29.6,1016.2,
2022-03-22,13.4,9.1,19.8,3.8,,142,5.7,24.1,1018.1,
2022-03-23,12.6,11,15.2,0.8,,85,23,48.2,1015,
