date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,15.7,12,19,0,,128,11.4,,1025.4,Carcavelos
2022-01-02,15.2,13.1,17,0.1,,149,5.8,,1028.6,Carcavelos
2022-01-03,13.3,11,15,0,,144,8.2,,1025.3,Carcavelos
2022-01-04,13.7,11,15.9,2.9,,290,21.9,,1020.3,Carcavelos
2022-01-05,13.6,11,15,3.2,,312,19,,1023.3,Carcavelos
2022-01-06,12.4,9,14,0,,359,14.6,,1023.4,Carcavelos
2022-01-07,12.5,10.8,15,0,,11,19.9,,1028.5,Carcavelos
2022-01-08,11.1,7,15,0,,27,11.7,,1030.9,Carcavelos
2022-01-09,12.6,10.4,14,0,,339,12.8,,1029.1,Carcavelos
2022-01-10,12.9,11,15,0,,346,15.6,,1025.4,Carcavelos
2022-01-11,13.8,11,19,0,,20,16.4,,1024.1,Carcavelos
2022-01-12,13.8,11,17,0,,60,15.1,,1025.3,Carcavelos
2022-01-13,11.6,8,15,0,,76,14.7,,1027.4,Carcavelos
2022-01-14,10.7,7,14,0,,74,14.1,,1027.9,Carcavelos
2022-01-15,11.3,8,14,1.2,,103,13.2,,1026,Carcavelos
2022-01-16,12.5,9,16,0,,92,10.4,,1028.7,Carcavelos
2022-01-17,12.1,8,16,0,,53,11.3,,1030.2,Carcavelos
2022-01-18,11,7,15,0,,63,11.3,,1028.9,Carcavelos
2022-01-19,11.2,7,16,0,,68,10.3,,1029.4,Carcavelos
2022-01-20,11.4,3,16,0,,49,10.9,,1026.6,Carcavelos
2022-01-21,11.3,7,15,0,,58,13.7,,1023.8,Carcavelos
2022-01-22,10.7,7,15,0,,63,16.7,,1024.1,Carcavelos
2022-01-23,11.1,8,15,0,,58,15.9,,1022.4,Carcavelos
2022-01-24,11.2,8,15,0,,47,12.7,,1024.2,Carcavelos
2022-01-25,11.7,8.9,16,0,,47,15.8,,1026.8,Carcavelos
2022-01-26,11.5,9,15,0,,48,16.4,,1024.7,Carcavelos
2022-01-27,13.3,10.1,17,0,,56,17.3,,1024.7,Carcavelos
2022-01-28,13.4,10.6,17,0,,62,17.7,,1026.3,Carcavelos
2022-01-29,13.5,10,18,0,,60,17.8,,1028,Carcavelos
2022-01-30,13.5,10.8,18,0,,48,12.3,,1027.1,Carcavelos
2022-01-31,13.7,11,18,0,,6,18.1,,1028.6,Carcavelos
2022-02-01,13.8,10.6,18,0,,47,13.6,,1028.1,Carcavelos
2022-02-02,13.1,9,17,0,,68,10.9,,1026.1,Carcavelos
2022-02-03,12.4,9,15,0,,356,6.1,,1024,Carcavelos
2022-02-04,12.8,10,16,0,,3,10.2,,1024.7,Carcavelos
2022-02-05,12.6,8,16,0,,354,20.2,,1025.7,Carcavelos
2022-02-06,13.3,8,19,0,,25,14.4,,1027.2,Carcavelos
2022-02-07,14.5,9,20,0,,47,12.8,,1027.2,Carcavelos
