date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,15,11.9,19.5,0,,111,7.3,,1025.7,
2022-01-02,14.4,13.2,16.2,0,,136,4.4,,1028.8,
2022-01-03,12.9,11.6,14.5,0.3,,145,7.1,,1025.6,
2022-01-04,13.1,12.3,16.2,1.8,,285,18.7,,1020.2,
2022-01-05,12.4,10.2,16.5,0.5,,301,14.7,,1023.5,
2022-01-06,12.8,11,15.3,0,,352,10.5,,1023.6,
2022-01-07,12.8,11.1,15,0,,13,16.5,,1028.6,
2022-01-08,10.7,8,15.9,0,,25,10.2,,1031.4,
2022-01-09,12.1,8.6,16.3,0,,305,7,,1029.2,
2022-01-10,13.5,11.9,16.5,0,,335,12.9,,1025.4,
2022-01-11,12.8,10.6,17,0,,22,14.4,,1024.5,
2022-01-12,12.7,9.4,17.2,0,,45,13,,1026,
2022-01-13,11.2,8.2,15.7,0,,68,12.6,,1028,
2022-01-14,10.3,7.1,14.2,0,,62,10.6,,1028.6,
2022-01-15,11.3,8.1,15.1,0,,109,9.1,,1026.5,
2022-01-16,11.2,8.3,15.4,0,,106,7.8,,1028.8,
2022-01-17,11.6,8.6,14.8,0,,33,10.8,,1030.8,
2022-01-18,10.6,7,14.5,0,,32,9.7,,1029.5,
2022-01-19,10.4,6.6,14.8,0,,42,8.8,,1029.9,
2022-01-20,10.3,6.3,15.3,0,,36,11.2,,1027.2,
2022-01-21,10.5,7.4,15.5,0,,39,13.2,,1024.6,
2022-01-22,10.1,6.5,14.5,0,,46,13.7,,1024.8,
2022-01-23,10.4,7.2,14.1,0,,35,13.7,,1023,
2022-01-24,10.8,8,14.2,0,,25,12.9,,1024.5,
2022-01-25,11.5,8.4,14.7,0,,28,15.9,,1027.4,
2022-01-26,11.4,8.6,14.1,0,,35,16.4,,1025.2,
2022-01-27,12.8,9.1,18.5,0,,39,16.7,,1025,
2022-01-28,12.7,9.3,18,0,,43,15.2,,1027,
2022-01-29,13.1,9,17.4,0,,45,14.3,,1028.6,
2022-01-30,12.5,8.6,18.1,0,,29,11.2,,1027.8,
2022-01-31,13.4,9.9,19.5,0,,24,10,,1028.9,
2022-02-01,12.6,9.2,17.9,0,,37,13,,1028.8,
2022-02-02,12.8,8.9,18.8,0,,19,8.5,,1026.6,
2022-02-03,12.1,9,15.1,0,,120,4.2,,1024.2,
2022-02-04,12.9,10.5,16.6,0,,6,6.7,,1024.9,
2022-02-05,13.1,10.1,17.7,0,,348,14.5,,1025.8,
2022-02-06,13.6,10.4,18.1,0,,22,14.9,,1027.4,
2022-02-07,13.3,8.6,20.2,0,,28,12.8,,1027.7,
2022-02-08,14.7,11.5,20.9,0,,30,11,,1026.1,
2022-02-09,13.9,9.6,20.4,0,,60,7.1,,1027.6,
2022-02-10,13.3,9.6,17.2,0,,28,6.4,,1027,
2022-02-11,14.6,11.8,20.6,0,,320,6.9,,1025.7,
2022-02-12,13.3,10.8,16.8,0.2,,305,6.6,,1023.9,
2022-02-13,12.2,9.6,15.1,7.6,,243,11.1,,1021.3,
2022-02-14,12.2,9.4,17.2,0.3,,331,12,,1024.5,
2022-02-15,11.8,8.4,16.6,0,,10,7.6,,1030.8,
2022-02-16,13.3,10,16.6,0,,309,9.6,,1032.1,
2022-02-17,14.4,12.1,18.5,0,,348,8.9,,1027.8,
2022-02-18,13,11,16.9,0.1,,356,14.3,,1022.1,
2022-02-19,11.8,10.4,15.4,0,,355,31.8,,1024.5,
2022-02-20,13.7,9.9,18.8,0,,17,17.8,,1028.6,
2022-02-21,14.1,10.7,19.5,0,,13,15.1,,1028.7,
2022-02-22,16.7,10.9,23,0,,29,13.4,,1026.2,
2022-02-23,16.1,11,21.4,0,,7,9.2,,1020.6,
2022-02-24,13.7,10.6,18.9,15.6,,40,8.6,,1019.2,
2022-02-25,15.3,11.8,20.5,0.1,,37,13.7,,1019.2,
2022-02-26,14.2,12,18.6,0,,13,11.1,,1018.8,
2022-02-27,13.9,11.3,18.6,0,,3,11.7,,1022.1,
2022-02-28,14.5,10.2,21.3,0,,353,8.2,,1025.5,
2022-03-01,14.4,11.5,17.4,0,,239,8.9,,1026.2,
2022-03-02,13.8,11.1,17.9,0,,338,8.2,,1026,
2022-03-03,13.4,11.7,15.8,4,,305,22.3,,1022.3,
2022-03-04,11.9,10.6,14.5,0,,349,25.4,,1024.3,
2022-03-05,11.2,9.6,13.6,3.5,,339,8.5,,1018.2,
2022-03-06,12.2,9.5,17,0,,9,18.4,,1014.7,
2022-03-07,12.1,8.9,15,1.4,,287,10.8,,1014.3,
2022-03-08,12.8,9.1,17.2,5.1,,249,13.6,,1018.4,
2022-03-09,14.1,12.1,17,0.6,,209,15.1,,1019.6,
2022-03-10,14.1,11.7,18,1.8,,199,20.4,,1018,
2022-03-11,14.1,11.4,16.5,6.4,,277,13.7,,1015.9,
2022-03-12,12.8,9.9,16.4,10.9,,235,17,,1016,
2022-03-13,13,10.6,15.7,0,,253,10.6,,1014.8,
2022-03-14,12.5,9.9,16,0,,44,13.3,,1006.5,
