date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,10.1,6.2,16.3,0,,49,8.2,,1027.4,
2022-01-02,9.8,5.9,15.4,0,,41,4.8,,1029.5,
2022-01-03,9.7,7,15,0,,61,4,,1026.2,
2022-01-04,8.4,4.7,12.5,1.8,,271,11.8,,1018.8,
2022-01-05,8.1,5.3,11,1.8,,272,13,,1021.5,
2022-01-06,6.6,1.5,12.1,0,,350,6.3,,1022.9,
2022-01-07,6.8,2.2,12,0,,16,11,,1028.7,
2022-01-08,5.4,-0.7,12.5,0,,327,7.4,,1031,
2022-01-09,8.5,3.1,14.1,0,,253,10.2,,1027.8,
2022-01-10,11.4,7.8,15.9,0,,331,8,,1024.3,
2022-01-11,10.4,6.8,16.2,0,,40,10.2,,1025.3,
2022-01-12,9.9,5.8,13.9,0,,51,10.8,,1027.9,
2022-01-13,6.5,3.2,11.6,0,,63,12.4,,1030.7,
2022-01-14,5.6,1.8,11.1,0,,59,11.5,,1031.1,
2022-01-15,6.5,3.6,11.7,0,,57,9,,1028.4,
2022-01-16,6.1,2.1,12.3,0,,47,7.5,,1030.8,
2022-01-17,6.1,2,12.7,0,,55,8.2,,1032,
2022-01-18,5.3,1,12.6,0,,53,8.3,,1030.9,
2022-01-19,5.4,-0.9,12.9,0,,63,6.7,,1030.6,
2022-01-20,6.7,1.8,13.7,0,,47,9.8,,1028.4,
2022-01-21,7.4,2.5,12.5,0,,46,12.2,,1026.6,
2022-01-22,5.3,1.2,11.5,0,,56,13.5,,1027.7,
2022-01-23,6,2.1,12.1,0,,51,11.5,,1025.4,
2022-01-24,6.4,2.5,12.9,0,,51,11.3,,1026.3,
2022-01-25,6.9,2.4,12.8,0,,53,11.4,,1029.2,
2022-01-26,7.5,3.1,12.7,0,,55,12.1,,1027.5,
2022-01-27,8.9,5.2,14.8,0,,50,13.1,,1027.3,
2022-01-28,8,3.4,14.4,0,,54,13.7,,1029.6,
2022-01-29,8.4,3.8,15.3,0,,58,13.6,,1031.3,
2022-01-30,8.2,3.7,15.9,0,,39,9.2,,1029.2,
2022-01-31,9.1,1.5,18.4,0,,9,7.9,,1028.6,
2022-02-01,10,5.5,15.9,0,,35,14.6,,1030,
2022-02-02,9.9,5.4,17.3,0,,49,8.4,,1027.5,
2022-02-03,8.6,2.2,16.2,0,,288,5.3,,1023.6,
2022-02-04,9,4.5,15.3,0,,291,8.5,,1024,
2022-02-05,10,4.8,16.4,0,,11,11,,1025.2,
2022-02-06,9,4,15.8,0,,35,9.8,,1028.5,
2022-02-07,9.4,2.8,17.2,0,,55,8.5,,1029,
2022-02-08,10.4,5.8,17.8,0,,56,11.8,,1028,
2022-02-09,9.7,4.3,17.4,0,,48,7.8,,1028.8,
2022-02-10,10,3.9,17.7,0,,19,6.2,,1027.3,
2022-02-11,11.8,5,18.8,0,,333,4,,1025.2,
2022-02-12,10.7,5.1,16.6,0.3,,279,6.5,,1023.1,
2022-02-13,8.1,2.8,11.6,2,,254,10.5,,1020.8,
2022-02-14,8.5,4.8,13.1,0,,298,12.3,,1023.4,
2022-02-15,7.1,0.8,14.3,0,,320,6.9,,1030.1,
