date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,18.8,13.6,24,0,,164,20.2,,1023.6,
2022-01-02,14.3,12.1,17,1.2,,177,9.3,,1028.3,
2022-01-03,12.6,8,15,0,,171,14.6,,1024.1,
2022-01-04,11.8,9.5,13.4,17.2,,359,19.9,,1017.5,
2022-01-05,10.7,8.2,14,9.1,,357,11.3,,1021.1,
2022-01-06,9.4,4,13,0,,33,5.6,,1023.5,
2022-01-07,10.3,6,15,0,,25,11.8,,1029.9,
2022-01-08,8.2,-1,12.2,0,,13,5.5,,1031.3,
2022-01-09,12.3,10,14,4.5,,231,8.7,,1027.6,
2022-01-10,12.5,9.5,14,2,,351,13.3,,1025.5,
2022-01-11,11.3,5,18,0,,32,8,,1025.6,
2022-01-12,11.8,5,17,0,,68,11.5,,1026.8,
2022-01-13,10.7,5,18,0,,87,9.3,,1028.8,
2022-01-14,8.7,2,15,0,,85,7.9,,1028.7,
2022-01-15,10.6,4,16,0,,134,11.2,,1026,
2022-01-16,13.3,10.2,17,0,,140,12,,1028.6,
2022-01-17,9.9,4,15,0,,74,5.7,,1030.9,
2022-01-18,8.8,2,15,0,,72,5,,1029.7,
2022-01-19,8.7,1,13,0,,53,5.5,,1030.2,
2022-01-20,9.8,1,18,0,,56,7.5,,1027.6,
2022-01-21,9.3,4.8,14,0,,57,11.4,,1025.8,
2022-01-22,8.7,5,14,0,,76,11.6,,1026.1,
2022-01-23,8,1,14,0,,70,6.6,,1024.3,
2022-01-24,8.7,-1,14,0,,50,6.6,,1025.7,
2022-01-25,7.9,1,15,0,,47,5.9,,1028.8,
2022-01-26,9.1,2,16,0,,64,8.1,,1026.7,
2022-01-27,10.5,5,18,0,,46,9.8,,1026.9,
2022-01-28,12,8.5,18,0,,58,11.8,,1028.8,
2022-01-29,10.9,2,19,0,,47,8,,1030.2,
2022-01-30,10.1,3,18,0,,47,6.8,,1028,
2022-01-31,9.3,0,14,0,,33,7.3,,1029.2,
2022-02-01,12,6.4,19,0,,54,13.8,,1029.7,
2022-02-02,12.4,4,20,0,,119,6.1,,1026.5,
2022-02-03,11,4,15,0,,169,7.2,,1023.8,
2022-02-04,10.9,8,14,0.1,,28,8.4,,1024.7,
2022-02-05,10.5,5,16,0,,14,11.3,,1026.4,
2022-02-06,10.1,6.9,15,0,,28,12.8,,1028.9,
2022-02-07,9.6,0,17,0,,32,6.2,,1028.6,
2022-02-08,12.2,4,18,0,,56,8,,1026.1,
2022-02-09,12.1,3,19,0,,146,7.7,,1027.5,
2022-02-10,11.9,4,18,0,,147,6,,1026.7,
2022-02-11,11.8,6,17,0,,18,7.7,,1025.5,
2022-02-12,11.2,9.1,14,1.4,,356,6.6,,1023.4,
2022-02-13,10.6,8.1,14,10.8,,170,16.1,,1019.3,
2022-02-14,10.8,7.5,14,1.2,,346,12,,1023.4,
2022-02-15,9.6,3,15,0,,151,8.3,,1030,
2022-02-16,12,8.8,15,1.7,,196,9.1,,1031,
2022-02-17,13.5,11,16,0.5,,312,7.1,,1027.4,
2022-02-18,11.6,8.8,15,1.7,,36,16.5,,1021.9,
2022-02-19,9.4,5,14,0,,0,23,,1026.6,
2022-02-20,10.1,3,15,0,,15,14.1,,1030.1,
2022-02-21,11.4,5,16,0,,4,16.4,,1029.6,
2022-02-22,13,3,19,0,,39,9.9,,1027.4,
2022-02-23,12.1,5,19,0,,38,6.6,,1020.8,
2022-02-24,11.5,5,15,0,,6,9.8,,1019.7,
2022-02-25,13.9,10,20,0,,46,10.5,,1020.7,
2022-02-26,11.6,9,15,0,,32,5.8,,1018.9,
2022-02-27,11,6,16,0,,23,7.1,,1022.3,
2022-02-28,11.3,4,16,0,,109,5.1,,1025.5,
2022-03-01,12.5,10,16,3.5,,189,11.9,,1024.7,
2022-03-02,11.7,7,14,0,,212,7.2,,1025.1,
2022-03-03,11.9,8.5,14,18,,341,30.2,,1020.6,
2022-03-04,9.5,5.8,14,0,,353,20.8,,1024.4,
2022-03-05,9.7,5,14,0.4,,37,10.7,,1017.9,
2022-03-06,9.6,1,14,0,,28,13.7,,1016.1,
2022-03-07,8.7,0,14,3.1,,172,11.1,,1013.1,
2022-03-08,11.1,7.7,15,9.8,,192,13.2,,1016.2,
2022-03-09,12.2,9.7,15,13.3,,176,23,,1017.2,
2022-03-10,13.1,10.8,16,8.2,,177,23.3,,1015.4,
2022-03-11,12.9,8.3,15,11.4,,257,13,,1013.9,
2022-03-12,10.9,8.2,14,18.4,,183,17.6,,1013.5,
