date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,20.3,19.2,23.4,0,,257,8,,1023.3,Funchal
2022-01-02,20.4,16.8,23.6,0,,46,4.8,,1026.8,Funchal
2022-01-03,20.6,17.6,23.5,0,,105,4.2,,1025.8,Funchal
2022-01-04,18.6,15.9,19.6,0.1,,35,14.6,,1025.3,Funchal
2022-01-05,17.7,15.8,17.6,0,,46,18.3,,1028,Funchal
2022-01-06,17.2,14.8,16.8,0,,19,10.8,,1027.2,Funchal
2022-01-07,17.6,15.3,17.8,4,,40,24,,1027.1,Funchal
2022-01-08,17.2,15.2,17.4,0.3,,56,27.5,,1027.3,Funchal
2022-01-09,17.9,15.2,18.7,0,,76,21.9,,1025.5,Funchal
2022-01-10,17.7,15.4,18.3,0,,81,15.2,,1021.9,Funchal
2022-01-11,17.4,15.7,17.2,0,,62,25,,1021.8,Funchal
2022-01-12,16.9,15.4,17.5,0.3,,70,17.4,,1021.5,Funchal
2022-01-13,17.7,15.6,17.6,0.3,,88,9.3,,1020.9,Funchal
2022-01-14,18.3,16.4,19.2,0,,82,13.6,,1021.9,Funchal
2022-01-15,19,17,19.6,0,,76,11.1,,1021.5,Funchal
2022-01-16,18.5,16.9,17.9,0,,117,22.8,,1020.9,Funchal
2022-01-17,17.9,15.5,18,23.2,,126,24.9,,1022.4,Funchal
2022-01-18,17.6,15.2,16.8,38.1,20,150,20.4,,1021.1,Funchal
2022-01-19,18.3,17,17.8,5.1,,129,27.7,,1020.8,Funchal
2022-01-20,18.1,17.4,17.4,0,,89,32.6,,1019.1,Funchal
2022-01-21,18.6,17.4,17.9,0,,76,33.7,,1016.2,Funchal
2022-01-22,18.5,16.7,18.7,0,,72,19.9,,1016.3,Funchal
2022-01-23,17.8,15.7,18.8,0.1,,71,8.9,,1020,Funchal
2022-01-24,17.9,15.9,17.1,0.1,,51,15.4,,1024.1,Funchal
2022-01-25,16.6,15.5,15.8,0,,20,15.2,,1026.1,Funchal
2022-01-26,16.2,14.2,15.8,0.1,,27,14.8,,1023.6,Funchal
2022-01-27,15.2,13.4,15.3,2,,24,11.9,,1020.5,Funchal
2022-01-28,15.6,12.9,15.8,6.1,,60,12.5,,1019.8,Funchal
2022-01-29,17.2,14.2,17.3,0,,49,14.3,,1022,Funchal
2022-01-30,18.7,15,18.6,0,,43,20.6,,1022.3,Funchal
2022-01-31,19.3,17.6,18.2,0.3,,55,31.4,,1024,Funchal
2022-02-01,19.8,18.1,19.1,0,,46,33,,1024.2,Funchal
2022-02-02,18.8,15.6,18.6,2,,47,15.4,,1022.5,Funchal
2022-02-03,18.8,16.9,18.4,10.9,,38,14.1,,1019.3,Funchal
2022-02-04,18.3,16.9,20.6,3,,291,4.3,,1018.7,Funchal
2022-02-05,19.2,15.9,19.5,0,,54,19.1,,1021.1,Funchal
2022-02-06,18.5,15.5,17,0.1,,50,33.6,,1024.2,Funchal
2022-02-07,17.6,15,17.7,0,,55,27.5,,1022.6,Funchal
2022-02-08,20.9,15.6,20.8,0,,47,22.3,,1019.2,Funchal
2022-02-09,20.8,17.7,19.5,0.4,,64,11.6,,1019.3,Funchal
2022-02-10,18.7,16.5,23.4,0.4,,74,6.1,,1021.9,Funchal
2022-02-11,19,15.7,19.9,0.3,,296,6.3,,1024.4,Funchal
2022-02-12,18.2,16,17.3,0,,22,9.1,,1025,Funchal
2022-02-13,17.7,15.4,16.8,0,,14,4.8,,1025.1,Funchal
2022-02-14,17.2,15.1,17.4,1.1,,76,7,,1026.6,Funchal
2022-02-15,16.9,14.4,16.7,0,,53,19.2,,1029.8,Funchal
2022-02-16,16.9,15.3,16.1,0,,59,23.5,,1031.5,Funchal
2022-02-17,16.8,15,18,0.4,,83,13.5,,1028.1,Funchal
2022-02-18,17.4,16.4,16.5,0.3,,27,4.9,,1024.8,Funchal
