date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,18,14.3,22.5,,,150,18.9,33.3,1023.8,Guimarães
2022-01-02,13.9,10.6,16.6,,,162,9.5,27.8,1028.8,Guimarães
2022-01-03,12,9.3,13.9,,,154,15.3,40.8,1024.3,Guimarães
2022-01-04,11.9,9.7,15,,,316,22.1,46.3,1017.1,Guimarães
2022-01-05,9.8,7.3,13.4,,,36,11.9,33.3,1021.1,Guimarães
2022-01-06,8.6,5.4,12.6,,,66,7.6,18.5,1023.7,Guimarães
2022-01-07,10,6.8,14,,,0,14.6,33.3,1030.6,Guimarães
2022-01-08,7.8,3.3,11.8,,,117,7.8,23,1031.6,Guimarães
2022-01-09,12.7,10.9,13.7,,,270,8.6,24.1,1027.7,Guimarães
2022-01-10,12.2,8.9,13.5,,,331,13.7,25.9,1026,Guimarães
2022-01-11,12.2,8.4,17.2,,,47,9.9,25,1026.3,Guimarães
2022-01-12,11.9,8,16.9,,,81,13.4,32,1027.6,Guimarães
2022-01-13,10.7,7.3,15.5,,,98,15,31.5,1029.4,Guimarães
2022-01-14,9,5.8,14.1,,,95,13.5,33.3,1030.1,Guimarães
2022-01-15,9.9,6.5,15.3,,,109,12.5,29.6,1026.6,Guimarães
2022-01-16,12,9.4,16,,,109,11.8,25.9,1029.2,Guimarães
2022-01-17,11.2,7.6,17.1,,,89,12.4,25.9,1031.5,Guimarães
2022-01-18,10.3,7,16.6,,,83,14.1,27.8,1030.2,Guimarães
2022-01-19,8.9,4.9,14.5,,,79,11.9,25.9,1030.6,Guimarães
2022-01-20,11.2,6.4,18.1,,,72,13.5,25.9,1028.1,Guimarães
2022-01-21,9.9,6.9,14.3,,,81,14.5,31.5,1026.4,Guimarães
2022-01-22,8.2,5,13.7,,,90,20.3,38.9,1026.9,Guimarães
2022-01-23,8.8,4.9,14.4,,,70,14.1,31.5,1024.7,Guimarães
2022-01-24,7.6,3.1,14,,,64,9.8,25.9,1026.4,Guimarães
2022-01-25,8.8,5.1,15,,,76,12.3,27.8,1029.4,Guimarães
2022-01-26,10.2,6.6,15.6,,,80,15.2,37,1027.7,Guimarães
2022-01-27,11.3,7.2,18.3,,,71,13.7,36,1027.7,Guimarães
2022-01-28,11.7,7,18.1,,,77,13.2,39,1029.8,Guimarães
2022-01-29,12.8,7.6,19.6,,,79,13.5,31.5,1030.9,Guimarães
2022-01-30,11.5,6.8,18.7,,,88,12.8,29.6,1028.6,Guimarães
2022-01-31,9,3.8,15.5,,,67,9.8,25.9,1029.9,Guimarães
2022-02-01,13.6,6.3,19.3,,,71,18,33,1030.7,Guimarães
2022-02-02,14.2,9.7,19.7,,,116,14.9,38,1026.7,Guimarães
2022-02-03,10.6,7,14.5,,,136,8.6,20.4,1024.1,Guimarães
2022-02-04,11.2,9.3,13.6,,,348,10.2,27.8,1025.1,Guimarães
2022-02-05,10.2,6,15.2,,,23,10.1,29.6,1027,Guimarães
2022-02-06,10,7,14.2,,,41,12,27.8,1029.9,Guimarães
2022-02-07,12.4,6.4,20.3,,,62,11.4,39,1029.2,Guimarães
2022-02-08,14,10.8,20.1,,,93,15.6,37,1026.8,Guimarães
2022-02-09,12.2,8.7,18.2,,,119,11.2,27.8,1028.1,Guimarães
2022-02-10,12.5,8,17.9,,,133,10.5,22.2,1027.3,Guimarães
2022-02-11,12.7,9.8,16.4,,,37,7.4,22.2,1026.2,Guimarães
2022-02-12,11.6,8.8,15.2,,,131,6,20.4,1023.9,Guimarães
2022-02-13,10.5,7.7,13.8,,,182,17.3,52,1018.5,Guimarães
2022-02-14,10.8,7.3,14.3,,,339,13.1,37,1023.5,Guimarães
2022-02-15,9.6,5.6,13.7,,,157,9.3,21,1030.3,Guimarães
2022-02-16,12.2,9.5,13.6,,,199,9.5,24.1,1031.3,Guimarães
2022-02-17,13,9.9,16,,,170,5.9,18.5,1028,Guimarães
2022-02-18,11.2,7.9,13.7,,,34,16.8,42.6,1022.4,Guimarães
2022-02-19,8.8,4.4,14.4,,,349,20.7,44.5,1027.4,Guimarães
2022-02-20,9.8,3.2,15.2,,,7,12.9,35.2,1030.8,Guimarães
2022-02-21,11.6,6.4,17.1,,,10,12.7,35.2,1030.3,Guimarães
2022-02-22,14.7,8.7,22.4,,,67,14,37,1028.1,Guimarães
2022-02-23,15,9.4,21.2,,,53,11.5,29.6,1021.6,Guimarães
2022-02-24,10.8,7,15.2,,,28,9.2,37,1020.6,Guimarães
2022-02-25,14.1,8.8,19.8,,,73,15.2,35.2,1021.9,Guimarães
2022-02-26,12.4,10.2,14.9,,,97,10.9,29.6,1019.6,Guimarães
2022-02-27,11.7,7.7,15.3,,,316,6.2,24.1,1022.9,Guimarães
2022-02-28,11.5,7.5,16.1,,,85,6.9,21,1026,Guimarães
2022-03-01,12.2,9.5,15.9,,,173,11.1,33.3,1025,Guimarães
2022-03-02,11.4,7.4,13.9,,,168,8.7,27.8,1025.3,Guimarães
2022-03-03,11.3,8,14.3,,,332,28.4,61.1,1021,Guimarães
2022-03-04,8.7,4.2,13.5,,,352,17.4,48.2,1024.9,Guimarães
2022-03-05,8.9,5.7,14.3,,,73,11.7,37,1018.4,Guimarães
2022-03-06,9.1,3.9,13.9,,,1,12.7,33.3,1016.7,Guimarães
2022-03-07,9.3,4.6,13,,,145,13.2,33.3,1013.2,Guimarães
2022-03-08,11.3,8.6,14.5,,,212,12.3,48,1016.2,Guimarães
2022-03-09,11.8,9.7,14.4,,,177,18.7,54,1017.3,Guimarães
2022-03-10,12.7,10.1,14.3,,,172,22.5,57,1015.4,Guimarães
