date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,16.1,13.6,19.9,,,95,10.4,27.8,1026.2,
2022-01-02,15.5,13.1,18.8,,,61,6.1,14.8,1029,
2022-01-03,15.7,13.3,19.4,,,56,5.5,14.8,1026.5,
2022-01-04,14.9,12.5,16.9,,,280,15.9,48.2,1022,
2022-01-05,15,12.7,17.4,,,305,15.8,38.9,1024.8,
2022-01-06,14.8,13.4,16.3,,,337,14.7,37,1023.2,
2022-01-07,14,11.9,16.2,,,3,12,33.3,1027.2,
2022-01-08,13.4,11.5,16.8,,,26,9.2,22.2,1030.2,
2022-01-09,13,11,16.4,,,0,9,22.2,1029.4,
2022-01-10,14.3,12,16.9,,,354,10.7,29.6,1025.1,
2022-01-11,14.9,13.3,17.8,,,21,9.8,25.9,1022.7,
2022-01-12,14.5,12.6,17.5,,,66,10.7,29.6,1024.8,
2022-01-13,14,12,16.9,,,79,16.5,42.6,1026.2,
2022-01-14,14.1,11.8,16.8,,,86,15.6,37,1026.9,
2022-01-15,14.8,13,17.3,,,98,12,29.6,1025.9,
2022-01-16,14.7,12.8,17.7,,,89,10.3,29.6,1028.6,
2022-01-17,13.7,11.8,16.5,,,70,9.2,25.9,1030,
2022-01-18,13.6,11.6,16.1,,,69,11.2,27.8,1028.7,
2022-01-19,13.8,12,16.8,,,60,8.3,22.2,1029.3,
2022-01-20,13.1,10.9,16.2,,,52,7.4,22.2,1026.4,
2022-01-21,13.3,10.9,16.4,,,65,8.2,22.2,1023.5,
2022-01-22,13.8,11.3,16.3,,,76,15,38.9,1023,
2022-01-23,14.9,12.5,17.2,,,74,15.1,38.9,1020.9,
2022-01-24,14.5,12.7,16.9,,,62,11.1,29.6,1023.5,
2022-01-25,14.6,12.6,17.1,,,58,12.5,35.2,1025.5,
2022-01-26,14.2,12.4,16.2,,,55,11.9,33.3,1023.3,
2022-01-27,14.8,12.6,17,,,72,14.1,37,1023.1,
2022-01-28,14.7,12.1,17.8,,,65,13.3,35.2,1025.1,
2022-01-29,15.1,12.9,18,,,76,15.2,38.9,1026.8,
2022-01-30,15,12.6,18.2,,,67,11.3,31.5,1026.5,
2022-01-31,14.8,11.4,18.9,,,350,8.9,25.9,1028.4,
2022-02-01,14,11.8,17.6,,,38,7.9,22.2,1028,
2022-02-02,14.3,11.2,17.7,,,65,8.7,24.1,1026.3,
2022-02-03,14.2,12.1,17.2,,,336,7.3,22.2,1024.5,
2022-02-04,13.9,12.5,15.7,,,348,7.2,20.4,1024.8,
2022-02-05,14.4,13.2,16.5,,,343,11.8,33.3,1025.5,
2022-02-06,14.8,12.3,17.8,,,17,9.7,25.9,1025.8,
2022-02-07,15.3,12.6,18.5,,,49,10,29.6,1026.2,
2022-02-08,14.9,11.7,18.7,,,78,12.7,35.2,1025.3,
2022-02-09,15.2,13,18.4,,,91,13.1,33.3,1027.2,
2022-02-10,14.7,12.3,17.7,,,66,7.3,22.2,1027.1,
2022-02-11,15.2,11.6,19.3,,,350,6.6,20.4,1025.7,
2022-02-12,15,12.4,17.7,,,326,6.7,18.5,1024.4,
2022-02-13,14.8,13.2,16.5,,,313,9.7,29.6,1022.7,
2022-02-14,14.8,12.9,17.2,,,335,12.1,31.5,1024.5,
2022-02-15,13.7,11.6,16.7,,,355,11.4,33.3,1030.4,
2022-02-16,14.4,11.6,17.4,,,344,9.8,27.8,1032.2,
2022-02-17,15.1,13.5,17.4,,,339,11.1,29.6,1027.9,
2022-02-18,14.8,13.4,16.5,,,335,14.2,35.2,1021.6,
2022-02-19,14.3,12.9,16.4,,,339,20.6,53.7,1023,
2022-02-20,15.1,11.9,18.9,,,18,11.3,27.8,1026.7,
2022-02-21,15,11.9,18.9,,,3,9.5,25.9,1027.3,
2022-02-22,15.6,11.6,20.2,,,41,7.9,24.1,1025.2,
2022-02-23,15.4,12.2,19,,,71,10,24.1,1020.2,
