date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,18.1,14,21.2,7.5,,178,18.4,35.2,1022.5,
2022-01-02,13,10.2,16,0,,193,6.9,31.5,1028.1,
2022-01-03,12.2,10.7,13.3,5.5,,190,18.1,40.8,1023.3,
2022-01-04,10.2,7.1,13.1,7.2,,288,18,42.6,1015.8,
2022-01-05,8.3,5.1,12.1,12.2,,270,11.9,22.2,1020.7,
2022-01-06,8,5.6,9.6,0.6,,206,7.6,16.7,1023.7,
2022-01-07,9.3,6,12.4,0,,14,9.2,24.1,1031.6,
2022-01-08,6.5,3,9.3,23.5,,202,8,22.2,1031.9,
2022-01-09,12.1,9,12.8,20.2,,258,12.6,24.1,1026.3,
2022-01-10,11.8,8.4,12.6,0.2,,299,7.9,16.7,1026.1,
2022-01-11,10.7,6.5,15.9,0,,34,5.2,16.7,1027.5,
2022-01-12,10.9,6.8,16.1,0,,49,8.2,18.5,1028.7,
2022-01-13,7.8,2.6,14.8,0,,229,8.4,22.2,1030.4,
2022-01-14,6.4,1.9,12.2,0,,235,9.2,22.2,1031.1,
2022-01-15,6.2,1.2,10.4,0,,221,12.7,22.2,1027.5,
2022-01-16,10.1,6.1,15,1.6,,207,12,22.2,1029.2,
2022-01-17,10.1,5.4,16.5,0,,257,6.9,18.5,1032.2,
2022-01-18,9.4,5.3,15.8,0,,245,8.6,18.5,1030.9,
2022-01-19,8.4,3.5,14.1,0,,233,7.1,20.4,1031.5,
2022-01-20,8.8,4,16.2,0,,220,8.5,18.5,1029.4,
2022-01-21,8.6,3.2,14,0,,156,10.4,20.4,1027.4,
2022-01-22,7,1.3,13.9,0,,178,9.1,20.4,1027.8,
2022-01-23,6.4,1.5,14.3,0,,251,7.5,20.4,1025.8,
2022-01-24,6.6,1.4,13.4,0,,282,7.2,18.5,1027.1,
2022-01-25,7.4,2.3,14.5,0,,279,6.5,18.5,1030.4,
2022-01-26,8.2,2.6,15.3,0,,269,6,18.5,1028.9,
2022-01-27,8.9,3.6,16,0,,234,6.6,18.5,1029.1,
2022-01-28,9.7,2.6,16.8,0,,205,8.2,22.2,1031.3,
2022-01-29,8.8,3.2,15.2,0,,234,10.2,24.1,1032.2,
