date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,14.4,12.1,19,,,157,13,35.2,1025.8,
2022-01-02,14.2,12,18.5,,,157,4,16.7,1029.2,
2022-01-03,13,10,17,,,155,10.3,29.6,1025.7,
2022-01-04,12.4,10.6,14.9,,,295,20,51.8,1020.4,
2022-01-05,11.9,9.2,14,,,314,15.7,46.3,1023.7,
2022-01-06,11,6,13.5,,,345,9.8,35.2,1023.7,
2022-01-07,11.1,7.4,14.1,,,358,12.7,42.6,1028.8,
2022-01-08,8.6,4.6,13.9,,,343,6.5,31.5,1031.7,
2022-01-09,10,6.6,14.8,,,310,7.7,29.6,1029.7,
2022-01-10,12,10.3,13.2,,,329,10.1,33.3,1025.8,
2022-01-11,12.7,8.2,18.6,,,358,7.1,25.9,1024.8,
2022-01-12,11.5,7,17,,,76,7.4,27.8,1025.8,
2022-01-13,10.3,8,14.1,,,93,11,33.3,1028,
2022-01-14,9.4,6,14,,,96,11.5,31.5,1028.6,
2022-01-15,10.5,7.5,13.5,,,124,13.4,35.2,1026.5,
2022-01-16,11.3,7.3,15,,,132,10.5,29.6,1028.8,
2022-01-17,9,2,15.2,,,79,3.8,20.4,1030.9,
2022-01-18,8.2,2,15.5,,,84,3.8,20.4,1029.5,
2022-01-19,7.7,0,16.1,,,29,2.6,16.7,1030,
2022-01-20,7.6,-2,16,,,49,3.9,24.1,1027.3,
2022-01-21,8,0,15.1,,,74,4.5,27.8,1024.5,
2022-01-22,9.1,5.6,14.1,,,90,12.2,35.2,1025.1,
2022-01-23,9.6,6.7,14.9,,,70,9.4,29.6,1023.3,
2022-01-24,8.9,0,15,,,42,5.3,24.1,1024.7,
2022-01-25,10,6.7,16,,,60,7.4,29.6,1027.4,
2022-01-26,9.9,6.1,14,,,65,8.4,33.3,1025.5,
2022-01-27,12,8.6,17,,,73,10.5,35.2,1025.3,
2022-01-28,11.4,7.3,17,,,77,11.8,37,1026.9,
2022-01-29,11.6,8.5,17.3,,,76,10.8,33.3,1029,
2022-01-30,10.7,7.3,17.2,,,64,5.8,22.2,1028.1,
2022-01-31,10,2,17,,,325,8.3,35.2,1029.4,
2022-02-01,11.2,5.7,18,,,40,5.7,31.5,1028.6,
2022-02-02,11.4,6.9,18.6,,,115,6.1,25.9,1026.7,
2022-02-03,9.6,5,15,,,295,4.1,22.2,1024.4,
2022-02-04,10.7,6,15,,,327,7.2,27.8,1025.1,
2022-02-05,11.6,9.4,14.7,,,339,13.7,40.8,1026.3,
2022-02-06,10.8,6.6,17.3,,,352,7.8,31.5,1027.6,
2022-02-07,11,0,20,,,27,5.7,25.9,1027.8,
2022-02-08,12.4,7.2,19.1,,,81,6.1,27.8,1026.1,
2022-02-09,12.4,7,19,,,128,7.7,25.9,1027.7,
2022-02-10,12.2,7.4,19,,,127,5.1,18.5,1027.2,
2022-02-11,13.2,4,20.1,,,306,4.4,24.1,1025.9,
2022-02-12,11.6,8.1,15.8,,,325,7.5,29.6,1024.4,
2022-02-13,11,7.5,13.9,,,258,10.7,37,1021.7,
2022-02-14,10.7,5,14.2,,,330,11.8,37,1024.7,
2022-02-15,9.3,0,15,,,348,6.7,31.5,1030.8,
2022-02-16,11.1,6,15,,,314,8.1,33.3,1032.3,
2022-02-17,12.8,11.3,15,,,321,9.5,27.8,1028.2,
2022-02-18,12.5,10.8,17,,,330,14.8,44.5,1022.2,
2022-02-19,10.7,8.2,13.1,,,351,27.5,68.5,1025.1,
2022-02-20,11.5,6.6,17.5,,,3,11.3,33.3,1029,
2022-02-21,12.5,9,17,,,342,12.5,35.2,1029,
2022-02-22,14.3,7.8,23,,,34,8.9,31.5,1026.4,
2022-02-23,12.4,7,20,,,30,3.6,18.5,1021,
2022-02-24,11.6,7.8,16,,,351,4.2,25.9,1019.4,
2022-02-25,14.4,9.7,20.2,,,52,9.9,29.6,1019.5,
2022-02-26,12.5,9.3,16.2,,,18,7.6,27.8,1019.2,
2022-02-27,11.9,8.7,16.4,,,324,8.5,29.6,1022.6,
2022-02-28,11.9,6.3,20,,,315,4.3,24.1,1025.8,
2022-03-01,12.6,8.9,16.9,,,255,6.9,29.6,1026.5,
2022-03-02,11.3,3,15.6,,,315,8,29.6,1026.1,
2022-03-03,12.2,10.3,14,,,318,23.6,59.3,1022.6,
2022-03-04,10.6,9,13,,,346,25.4,53.7,1024.5,
2022-03-05,10,7,12.5,,,323,7.6,27.8,1018.7,
2022-03-06,9.9,5.5,14.6,,,350,11.5,40.8,1015.3,
2022-03-07,9.2,1,13,,,300,9,31.5,1014.5,
2022-03-08,11.6,6,15,,,260,11.7,35.2,1018.4,
2022-03-09,13,11,15.5,,,202,16,40.8,1019.5,
2022-03-10,13.5,11,15.2,,,195,19.7,50,1018,
2022-03-11,12.9,9.7,15,,,277,14.2,40.8,1016.1,
2022-03-12,11.8,8.4,14.4,,,229,14.6,40.8,1016.3,
2022-03-13,11.5,7.5,15,,,267,11,31.5,1015.1,
2022-03-14,11.1,8.3,15.1,,,78,9.2,33.3,1007,
2022-03-15,12.9,8,18.6,,,14,10.5,31.5,1009.7,
2022-03-16,13.1,12.1,13.5,,,343,24.8,57.4,1015.6,
2022-03-17,14.1,11.2,18,,,10,14.5,44.5,1020.9,
2022-03-18,13.5,8.4,20,,,81,9.3,31.5,1021.8,
2022-03-19,14.2,9.9,18.7,,,114,8.9,29.6,1019.6,
2022-03-20,13.2,11.2,14.7,,,119,18.5,46.3,1013.4,
2022-03-21,12.4,10.5,16,,,155,12.3,33.3,1014.4,
2022-03-22,12.1,10.1,15,,,168,11.9,38.9,1016.7,
2022-03-23,12.1,10,14,,,96,9.2,29.6,1013.1,
2022-03-24,13.3,11.3,17,,,74,13.5,38.9,1012.9,
2022-03-25,13.8,11.5,16.3,,,67,9.6,37,1013.2,
2022-03-26,13.9,10.6,18,,,98,8.5,29.6,1015.2,
2022-03-27,,,,,,,,,,
2022-03-28,15.7,12.7,21,,,86,10.8,31.5,1014.5,
2022-03-29,13.6,11.3,18,,,10,11.6,48.2,1011,
2022-03-30,13.1,11,15.2,,,330,25.1,48.2,1011.2,
2022-03-31,12.6,11.5,14.2,,,323,21.5,50,1013.4,
2022-04-01,11.8,9.4,14,,,341,19.8,42.6,1017.8,
2022-04-02,11,5.2,16.7,,,59,9.6,37,1018.5,
2022-04-03,10.9,6.3,16.2,,,56,13.5,38.9,1014.5,
2022-04-04,10.6,6.8,15.2,,,60,16.7,46.3,1010.7,
2022-04-05,10.4,8.8,12.3,,,59,12.3,38.9,1012.4,
2022-04-06,11.3,4,16,,,344,11.3,38.9,1019.1,
2022-04-07,12.8,10.1,15.2,,,305,10,31.5,1024.6,
2022-04-08,14,11.1,16,,,253,13.6,37,1022.9,
2022-04-09,15.3,13.8,17.7,,,239,11.1,29.6,1019.6,
2022-04-10,14.9,12.3,17.9,,,166,16.8,48.2,1010.8,
2022-04-11,14.7,12.8,16.1,,,212,23.2,46.3,1004.8,
2022-04-12,13.4,10,16.1,,,280,15.5,37,1009.8,
