hotel_ID;Reserve_ID;pais;estado_reserva;room_ID;tipo_quarto;rate_plan;data_reserva;num_noites;Quantidade de quartos;ocupacao;adultos;criancas;bebes;preco_euros;data_chegada;data_partida;preco_noite;preco_noite_adulto;preco_noite_ocupacao
311;1723815;Portugal;Pendente;1429;TW - Quarto Twin Standard;Main Rate BB;18/04/2023 16:33;1;2;1;2;0;0;151.0581;2023-05-11;2023-05-12;151.0581;75.52905;151.0581
311;1723814;Canadá;Registado;1407;DB - Quarto Duplo Standard;MR - Main Rate;18/04/2023 16:32;1;2;2;4;0;0;165.87;2023-08-18;2023-08-19;165.87;41.4675;82.935
311;1723812;Portugal;NãoRegistado;1429;TW - Quarto Twin Standard;Main Rate BB;18/04/2023 16:29;1;2;1;2;0;0;151.0581;2023-05-11;2023-05-12;151.0581;75.52905;151.0581
426;1723809;Estados Unidos;Registado;1995;Duplo Standard - Cama de Casal;BAR;18/04/2023 16:27;4;1;1;1;0;0;400.0;2023-08-06;2023-08-10;100.0;100.0;100.0
444;1723807;Espanha;Registado;2073;Duplo;Normal;18/04/2023 16:25;2;2;2;4;0;0;480.0;2023-06-23;2023-06-25;240.0;60.0;120.0
311;1723795;Canadá;Registado;1407;DB - Quarto Duplo Standard;MR - Main Rate;18/04/2023 16:14;1;1;2;2;0;0;82.935;2023-08-11;2023-08-12;82.935;41.4675;41.4675
309;1723785;Espanha;Registado;1430;Quarto Twin Superior;MR - Main Rate;18/04/2023 16:01;1;1;1;1;0;0;67.512;2023-04-18;2023-04-19;67.512;67.512;67.512
514;1723768;Reino Unido;Registado;2494;Pool Room;No Refundable;18/04/2023 15:46;3;1;1;1;0;0;432.0;2023-04-28;2023-05-01;144.0;144.0;144.0
314;1723756;Alemanha;Cancelado;1428;Quarto Individual;Standard;18/04/2023 15:38;1;1;1;1;0;0;80.0;2023-06-05;2023-06-06;80.0;80.0;80.0
311;1723739;Portugal;Modificada;2034;DBS - Quarto Duplo Superior;MR - Main Rate;18/04/2023 15:27;1;1;2;2;0;0;87.5425;2023-04-22;2023-04-23;87.5425;43.77125;43.77125
478;1723719;Portugal;Registado;2231;Duplo (Cama de Casal);Não Reembolsável;18/04/2023 15:09;2;1;1;1;0;0;140.0;2023-05-29;2023-05-31;70.0;70.0;70.0
535;1723696;Portugal;Pendente;2523;Quarto Duplo;WebSite;18/04/2023 14:52;3;1;2;2;0;0;216.0;2023-06-13;2023-06-16;72.0;36.0;36.0
537;1723647;Portugal;Registado;2721;Alojamento Nisa;Não Reembolsável;18/04/2023 14:01;3;1;2;2;0;1;388.4999999998;2023-06-08;2023-06-11;129.49999999993335;64.74999999996668;64.74999999996668
392;1723629;Reino Unido;Registado;1801;QUARTO DUPLO OU TWIN;Oferta Especial;18/04/2023 13:36;7;1;1;1;0;0;820.82952;2023-06-15;2023-06-22;117.26136;117.26136;117.26136
311;1723624;Portugal;Registado;2034;DBS - Quarto Duplo Superior;MR - Main Rate;18/04/2023 13:31;1;1;2;2;0;0;87.5425;2023-04-19;2023-04-20;87.5425;43.77125;43.77125
179;1723587;Suécia;Registado;630;Duplo  Comfort;INGENIARIUS;18/04/2023 12:42;3;2;1;2;0;0;840.0;2023-09-25;2023-09-28;280.0;140.0;280.0
392;1723581;Holanda;Registado;1801;QUARTO DUPLO OU TWIN;Epoca Normal;18/04/2023 12:35;1;1;2;2;0;0;108.8728;2023-04-19;2023-04-20;108.8728;54.4364;54.4364
