hotel_ID;localizacao;count
311;Maia;3325
310;Gaia;2120
556;Covilhã;1884
444;Nazaré;1687
535;Travanca do Mondego;1344
309;Valongo;1140
482;Portimão;1001
539;Amares;880
426;Chaves;859
179;Porto;782
319;Aveiro;593
514;Charneca de Caparica;458
304;Coimbra;402
328;Lisboa;363
322;Aveiro;310
504;Monção;293
443;Cascais;279
465;Evora;268
378;Batalha;263
392;Olhão;259
537;Campo Maior;248
313;Olhão;235
511;Sagres;227
280;Viana do Castelo;222
238;Funchal;213
453;Porto;206
395;Porto;205
314;Vila Nova de Gaia;204
379;Lagos;204
49;Lamego;196
478;Estoril;193
321;Aveiro;190
259;Guimarães;185
415;Madalena;169
358;Porto;167
560;Porto;165
503;Aveiro;162
413;Mesão Frio;162
44;Pinhão - Alijó;151
492;Lisboa;145
421;ELVAS;144
493;Carnaxide;144
185;Valdigem - Lamego;134
414;São Martinho do Porto;134
445;Conceição de Tavira;126
501;Obidos;126
495;Vale do Peso;120
54;Póvoa de Lanhoso;117
391;Torres Novas;108
403;Ermesinde;94
349;Lisboa;88
416;Velas;85
494;Lisboa;79
20;Viseu;77
283;Porto;74
366;Castelo Branco;74
273;Seixas - Caminha;71
516;Portimão;67
522;Portimão;62
285;Porto;62
335;Furnas S. Miguel - Açores;55
332;Lagoa, Açores;52
269;Ovar;51
483;Covilhã;50
399;Tavira;49
287;Porto;47
404;Valpedre - Penafiel;42
284;Porto;37
526;Açores;36
433;Aveiro;32
490;Lisboa;31
368;Olhos D'Água;30
400;Silves;30
559;Benafim;28
225;Porto;24
320;Aveiro;23
241;Lisboa;23
356;Valença do Minho;20
561;Alcanena;18
327;Câmara de Lobos;18
558;Funchal;15
546;Alte;15
389;São Vicente Ferreira, São Miguel - Açores;13
390;Alijó;5
302;Tomar;5
491;Vilamoura;5
442;Funchal;4
513;Tavira;1
