date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,17.5,15,20.2,,,207,8.8,37,1023.8,Amares
2022-01-02,14.5,11.2,16.6,,,327,3.2,29.6,1028.9,Amares
2022-01-03,13.5,11.1,15.4,,,259,6.9,37,1024,Amares
2022-01-04,11.7,9.4,14.7,,,291,9.4,40.8,1017.4,Amares
2022-01-05,9.8,8.6,12.1,,,328,4.4,31.5,1021.1,Amares
2022-01-06,8.9,6.2,11.6,,,34,3.1,18.5,1024,Amares
2022-01-07,9.8,6,13.7,,,54,5.8,33.3,1031.3,Amares
2022-01-08,8,4.2,11.9,,,5,4.2,22.2,1032.3,Amares
2022-01-09,12.4,9.7,14,,,324,6.2,40.8,1027.6,Amares
2022-01-10,12.5,9.1,14,,,334,3.1,22.2,1026.5,Amares
2022-01-11,10.2,6.7,15,,,33,7.6,38.9,1027.1,Amares
2022-01-12,10.1,5.5,15.4,,,64,7.3,44.5,1028.6,Amares
2022-01-13,7.3,3.7,13.7,,,84,7.6,37,1030.3,Amares
2022-01-14,6.2,2.3,12.6,,,83,5.9,64.8,1030.7,Amares
2022-01-15,7.1,2.4,13.1,,,86,6.8,37,1027,Amares
2022-01-16,10.8,7.8,14.9,,,108,5.8,25.9,1029,Amares
2022-01-17,9.4,6.8,14,,,105,4.5,22.2,1032.1,Amares
2022-01-18,7.8,4.4,13.2,,,96,4.1,20.4,1031,Amares
2022-01-19,7.4,3.4,13.3,,,305,5.5,27.8,1031.1,Amares
2022-01-20,8,3.9,14.4,,,314,5.9,24.1,1029,Amares
2022-01-21,7.5,3.9,12.8,,,76,6.1,31.5,1027.4,Amares
2022-01-22,6.4,3.1,12.5,,,93,7.9,42.6,1027.7,Amares
2022-01-23,5.5,1.5,11.9,,,59,5.3,37,1025.5,Amares
2022-01-24,5.3,0.8,11.4,,,111,5.7,50,1026.9,Amares
2022-01-25,6.5,2.3,12.5,,,63,4.6,46.3,1030.2,Amares
2022-01-26,7.3,3.3,13.6,,,68,4.4,42.6,1028.4,Amares
2022-01-27,8.4,4,14.8,,,53,5.3,44.5,1028.4,Amares
2022-01-28,8.7,5.2,15.5,,,38,5.9,48.2,1030.3,Amares
2022-01-29,8.1,3.4,15.1,,,341,6.9,53.7,1031.8,Amares
2022-01-30,8.1,3.4,15.3,,,5,8.6,59.3,1029.5,Amares
2022-01-31,8.1,3.7,14.7,,,25,7.2,61.1,1030.7,Amares
2022-02-01,10.3,6.3,15.5,,,81,7.3,42.6,1031.8,Amares
2022-02-02,11.3,7.2,17.1,,,48,8.4,44.5,1027.5,Amares
2022-02-03,10.2,7.5,14,,,67,5.3,27.8,1024.3,Amares
2022-02-04,10.7,8.5,13.2,,,91,2.8,24.1,1025.5,Amares
2022-02-05,9.8,6.6,14.8,,,93,5,25.9,1027.7,Amares
2022-02-06,8.5,4.9,13.9,,,44,6.1,27.8,1030.5,Amares
2022-02-07,9.6,4.6,16.1,,,20,5.6,33.3,1030,Amares
2022-02-08,10.3,6.4,16.6,,,78,6.8,35.2,1027.6,Amares
2022-02-09,10.8,6.8,16.6,,,31,6.2,51.8,1028.4,Amares
2022-02-10,11.1,7.6,15.4,,,38,6,66.7,1027.7,Amares
2022-02-11,11.1,8.4,15.2,,,37,4,24.1,1026.6,Amares
2022-02-12,9.7,7.3,13.1,,,354,4.3,22.2,1024.2,Amares
2022-02-13,10.2,6.8,12.5,,,278,9.1,51.8,1018.2,Amares
2022-02-14,9.6,6.7,12.6,,,336,5.2,27.8,1023.6,Amares
2022-02-15,9.1,5.5,13,,,41,4.9,33.3,1030.5,Amares
2022-02-16,12.4,9.8,14.5,,,287,4.6,31.5,1030.8,Amares
2022-02-17,13,11.2,15,,,315,3.8,24.1,1028.3,Amares
2022-02-18,11.2,7.5,13,,,14,4.8,27.8,1023.1,Amares
2022-02-19,9,5.2,13.5,,,19,7.1,27.8,1028.6,Amares
2022-02-20,10,5.6,14.9,,,6,6.2,29.6,1031.7,Amares
2022-02-21,11.2,6.9,16.6,,,357,4.6,33.3,1031.2,Amares
2022-02-22,12,7.6,18.2,,,29,5.4,24.1,1028.8,Amares
2022-02-23,12,8.2,17.6,,,30,4.9,22.2,1022.1,Amares
2022-02-24,11,6.3,16.6,,,32,5.2,38.9,1021.1,Amares
2022-02-25,11.9,8.3,17.2,,,64,6.5,29.6,1022.6,Amares
2022-02-26,10.8,7.2,15.1,,,53,4.5,33.3,1020.3,Amares
2022-02-27,10.3,6.4,14.5,,,65,3.9,51.8,1023.2,Amares
2022-02-28,10.8,7.2,15.1,,,90,4.5,27.8,1026.3,Amares
2022-03-01,11.8,9.5,14.4,,,278,5.7,33.3,1024.9,Amares
2022-03-02,11.7,9.9,13.6,,,324,4.7,25.9,1025.1,Amares
2022-03-03,11.5,8.2,13.3,,,341,7.5,35.2,1021.4,Amares
2022-03-04,9,4.8,13.6,,,15,6.2,35.2,1025.9,Amares
2022-03-05,8.2,4,12.8,,,36,4.5,24.1,1019.2,Amares
2022-03-06,8.9,4.5,14,,,56,6.4,29.6,1017.7,Amares
2022-03-07,8.5,3.5,12.9,,,29,7.5,25.9,1013.7,Amares
2022-03-08,11.1,9,14,,,286,7.3,31.5,1015.9,Amares
2022-03-09,11.4,8.4,13.5,,,229,9.3,51.8,1016.7,Amares
2022-03-10,11.5,7.4,14.6,,,150,9.1,40.8,1015,Amares
2022-03-11,11.9,8.8,14.1,,,298,9.6,38.9,1013.6,Amares
2022-03-12,10,7.8,12.5,,,256,7.6,42.6,1013.3,Amares
2022-03-13,9.8,7.4,12.4,,,314,8.2,35.2,1013.5,Amares
