date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,city
2022-01-01,17.7,15.8,20.4,,,158,18.8,38.9,1025,Coimbra
2022-01-02,15.1,12.3,17.6,,,181,7.3,25.9,1029,Coimbra
2022-01-03,13.6,11.4,17.3,,,161,9.9,31.5,1025.9,Coimbra
2022-01-04,11.2,8.8,13.2,,,255,14.3,46.3,1018.9,Coimbra
2022-01-05,9.7,8.2,11.7,,,251,7.5,29.6,1022.9,Coimbra
2022-01-06,9,5.4,11.7,,,18,5.3,13,1023.8,Coimbra
2022-01-07,9.2,6.3,13.3,,,30,7,22.2,1029.7,Coimbra
2022-01-08,7.7,3.8,11.1,,,39,5.9,16.7,1032.4,Coimbra
2022-01-09,10.5,7.8,12.7,,,244,5.3,21,1029.3,Coimbra
2022-01-10,12.5,10.7,14.6,,,331,7.1,20.4,1026.5,Coimbra
2022-01-11,11.7,8.5,16.2,,,43,7.3,24.1,1026,Coimbra
2022-01-12,11.8,9.3,15.7,,,65,10.5,29.6,1027.4,Coimbra
2022-01-13,10.1,5.8,14.5,,,77,9.5,32,1029.4,Coimbra
2022-01-14,9,6,13,,,82,8,27.8,1030,Coimbra
2022-01-15,10.1,6.9,14.4,,,120,8.1,24.1,1027.2,Coimbra
2022-01-16,12.5,10.3,16.3,,,137,10.2,30,1028.8,Coimbra
2022-01-17,10.5,7.5,15.2,,,63,7,18.5,1031.6,Coimbra
2022-01-18,9.6,5.5,14.8,,,64,6.9,18.5,1030.4,Coimbra
2022-01-19,9,5,14.6,,,53,7.2,21,1030.6,Coimbra
2022-01-20,9.9,5.9,15.4,,,56,9,27.8,1028.2,Coimbra
2022-01-21,9.5,7,13.1,,,61,12.1,31.5,1026.1,Coimbra
2022-01-22,8.3,4.1,13.1,,,68,11.3,31.5,1026.3,Coimbra
2022-01-23,9.1,4.8,14.4,,,61,8.7,25.9,1024.5,Coimbra
2022-01-24,9.2,5.5,14.2,,,54,6.9,20.4,1025.9,Coimbra
2022-01-25,9.2,5.4,14.4,,,57,8.4,24.1,1029,Coimbra
2022-01-26,9.9,6.3,14.6,,,58,9.5,29,1027.4,Coimbra
2022-01-27,11.2,8.2,16.5,,,54,10,31,1026.9,Coimbra
2022-01-28,11.2,7.1,16.1,,,57,12.4,35.2,1028.8,Coimbra
2022-01-29,11.6,7.2,17.3,,,61,11.5,31.5,1030.4,Coimbra
2022-01-30,11.9,8.1,17.4,,,50,7.9,24.1,1028.8,Coimbra
2022-01-31,10.7,6.2,16.7,,,32,6.4,18.5,1029.9,Coimbra
2022-02-01,11.5,7.8,16.6,,,55,12.7,49,1030.2,Coimbra
2022-02-02,13.4,9.3,18.6,,,95,7.8,24,1027.3,Coimbra
2022-02-03,11,7.1,14.6,,,40,4.5,13,1024.6,Coimbra
2022-02-04,10.6,8.1,14,,,26,5.2,18.5,1025.5,Coimbra
2022-02-05,10.3,5.6,15.5,,,27,6.8,22.2,1026.5,Coimbra
2022-02-06,10.5,6.9,16,,,41,10.3,35,1028.6,Coimbra
2022-02-07,11.9,7.4,18,,,49,10,27.8,1028.9,Coimbra
