pais;count
Portugal;13049
Espanha;2410
Estados Unidos;2089
França;1719
Reino Unido;948
Alemanha;840
Suiça;485
Canadá;431
Holanda;427
Brasil;412
Itália;410
Bélgica;326
Irlanda;235
Luxemburgo;131
Austrália;97
Áustria;91
Dinamarca;90
Suécia;77
Polónia;67
Israel;63
Noruega;57
Filandia;53
Argentina;39
Républica Checa;38
México;36
Hungria;24
Roménia;21
Angola;21
Ucránia;21
Japão;21
Eslováquia;20
Singapura;20
Malta;15
Nova Zelândia;15
África do Sul;15
Grécia;14
India;12
Hong Kong;11
Estónia;10
Chile;10
Turquia;10
Colômbia;10
Lituánia;9
Outro;9
Filipinas;8
Taiwan;8
Rússia;8
China;8
Letónia;8
Equador;8
Moçambique;8
Cabo Verde;7
Nigéria;7
Eslovénia;7
Venezuela;7
Croácia;7
Emirados Árabes Unidos;6
Marrocos;5
Chipre;5
Porto Rico;4
Coreia do Sul;4
Argélia;4
Arábia Saudita;4
Quatar;4
Panamá;3
Sérvia;3
Arménia;3
Bermuda;3
Bielorússia;2
Jersey;2
Egipto;2
Peru;2
Andorra;2
Mónaco;2
Islândia;2
Tailândia;2
Paraguai;2
Uruguai;2
Tunísia;2
Ilha da Reunião;2
Jamaica;2
APO/FPO;2
Ilhas Virgens (E. U. A.);2
Jordânia;1
Senegal;1
Kenia;1
Sri Lanka;1
Camarões;1
Malásia;1
Ruanda;1
Ilhas Caimão;1
Moldávia;1
Guadeloupe;1
Bangladesh;1
República da Quirguízia;1
Albánia;1
Suazilândia;1
Níger;1
Martinica;1
Bulgária;1
Antilhas Holandesas;1
Montenegro;1
Antígua e Barbuda;1
Gana;1
São Cristóvão e Nevis;1
Irão;1
Macedónia;1
Botswana;1
Costa Rica;1
Niue;1
Samoa Americana;1
