Hotel ID;Facility ID;Nome
16;230;Mom Kitchen
16;231;Diet Deserts
60;232;Entry into the fishery
60;233;Hiking
60;234;Hammocks
60;235;Double shower
60;236;Green area to practice sports
60;237;Live music on Saturday nights
60;238;Bonfire with live music on Friday nights
86;239;Newspapers in communal areas
86;240;Baggage consignment
86;241;Covered car park
63;242;Heating
24;243;Parque Infantil
47;265;Playground
47;266;Mini Golf
68;267;King size spring mattresses
68;268;Queen size spring mattresses
68;269;Basket off seasonal fruits
68;270;Extra pillows and blankets
11;271;Fitness Center
55;272;Spa
55;273;Electric Kettle
133;276;Free Wi-Fi
137;278;Spa
136;279;Spa
136;280;Library
136;281;Playground
120;282;Steam bath
120;283;Minifridge
120;284;HIFI
120;285;Independent heating
120;286;Independent air conditioning
139;288;Luggage Room
131;290;Smart Tv with browser (keyboard and mouse)
140;292;Double bed or two twin beds
140;293;Air conditioned unit with individual control
140;294;TV with remote control
140;295;Satellite TV chanels
140;296;Wireless internet access
140;297;Safe deposit box
140;298;Direct dial telephone
140;299;Amenities
140;300;Marble bathrooms
134;301;SPA
138;302;SPA
134;303;Free Wi-fi
141;304;Luggage Room
31;305;Transporte interno (trenzinho)
31;306;Kid's club
31;307;Roupa de cama Trousseau
31;308;Lake
143;309;Work Desk
144;310;Hydrotherapy Center
142;312;Equestrian Centre
142;313;Discotheque
142;314;Hidrotherapy Center
148;315;Hot Water
148;316;Private Bathroom
148;317;21 inchs TV
148;318;WiFi
148;319;Double Bed
148;320;King Size Bed
148;321;32 inchs LCD TV
148;322;42 inchs LCD TV
148;323;Balcony with Embalse view
148;324;Living Room
148;325;Kitchnette
148;326;Coffe station
148;327;Jacuzzi in the Balcony
148;328;Private Bathroom with Bath
146;329;Hairdryer
146;330;Sewing Kit
146;331;Shaving Kit
146;332;Shoe shine sponge
146;333;Shower Cap
146;334;Vanity Set
44;336;Spa
13;338;Bicicleta
31;339;Internet Wi Fi
167;340;Spa
165;341;Soccer Court
165;342;Beach Volleyboll
183;343;Dinner (on request)
184;344;Wi-Fi Internet Free
184;345;Safe
190;348;Spa
208;349;Parque Aquático composto de Piscinas (adulto e infantil) com Toboágua, Chafariz, Ducha, Correnteza e
208;350;Centro de Convenções
208;351;Lanchonete
137;355;Free WiFi
227;357;Steam Room
227;358;Free Wifi
227;359;Delta Q coffee machine
227;360;Terrace
222;361;Conference Room
210;362;Wi-Fi
229;364;Spa
233;365;Internet Wireless
234;366;Doctor available 24 hours
238;367;Billiard
238;368;Internet Wireless
238;369;Coffee and Tea Making Facilities
240;370;Spa
240;372;Beach volleyball court
240;373;Turkish bath
240;374;Outdoor swimming pool for adults
236;375;Fridge
236;376;Stereo
258;377;Kitchen utensils
258;378;Kitchen - Microwave
258;379;Kitchen - Electric kattle
258;380;Kitchen - Oven
258;381;Kitchen - Hob / Electric plate
258;382;Kitchen - toaster
258;383;Kitchen - Coffee machine
258;384;Kitchen - Fridge
258;385;Iron ironing
258;386;Ironing board
258;387;Clothes line
258;388;Mop and mop bucket
256;390;Closet
258;393;Kitchen - Coffee making facilities
256;394;Dinning Table
256;395;Toaster
256;396;Kettle
256;397;Microwaves
256;398;Coffee Machine
260;399;Spa
262;400;View Garden
262;401;View City
262;402;Private Garden
262;403;Outdoor table with chairs
262;404;Private backyard with trees
262;405;Private Entrance
262;406;courtyard
269;407;Spa
280;409;Gabinete Chocoterapia
276;411;Spa
294;412;Spa
289;413;Spa
296;414;Spa
301;415;Spa
301;416;Access for Disabled Guests
301;417;Space with Toys for Kids
301;418;Free and Public Parking
301;419;Newspapers
301;420;Smoking Area
272;422;Common Kitchen
272;423;Luggage Room
304;424;teste
142;425;Adventure Club
313;427;Kitchenette
328;431;Board Games
328;432;Common Room
328;433;Free City Maps
328;434;Kitchen
328;435;Linnen Included
328;436;Lockers
328;437;Washing Machine
328;438;BBQ
328;439;Book  Exchange
328;440;Free WiFi
328;441;Hairdryer
328;442;Luggage Storage
328;443;Towels for rent
328;444;Tea & Coffee Making Facilities
327;445;Bathtub
327;446;Safe
327;447;Telephone
327;448;Hair dryer
327;449;Iron
327;450;Fridge
327;451;DVD Player
327;452;Microwaves
327;453;Dishwasher
327;454;Dishes
327;455;Satellite channels
327;456;Fireplace
327;457;TV
327;458;Sofa
327;459;Oven
327;460;Hob
327;461;Toaster
327;462;Barbecue
327;463;Coffee machine
327;464;Linen
327;465;Bed linen
327;466;Dinner table
327;467;Bathtub
327;468;Telephone
327;469;Hair dryer
327;470;Iron
327;471;DVD Player
327;472;Microwaves
327;473;Dishwasher
327;474;Satellite channels
327;475;Flat screen TV
327;476;Dishes
327;477;Hob
327;478;Toaster
327;479;Barbecue
327;480;Coffee machine
327;481;Towels
327;482;Linen
327;483;Dinner table
275;484;Lounge Space
275;485;N1 Fiesta bar
275;486;Environment friend
275;487;drawers or lockers with electronic  locks in the rooms
275;488;Electronic lockers
275;489;Electronic card  access
275;490;Towels and free linen
275;491;Individual reading  lights
337;492;Mini Golf
350;493;Single bed
350;494;Dooble bed
313;495;Ar Condicionado
362;497;Iron and Ironing Board
362;498;Oven
362;499;Capsule Coffee Machine
362;500;Kitchen utensils
362;501;Towels and Bed Linen
362;502;Microwave
362;503;Dishwasher
362;504;Washer/Dryer Machine
362;505;Ceramic Hob
362;506;Fridge/Frezzer
362;507;Water Kettle
362;508;Fans
362;509;Toaster
362;510;Shower Gel
362;512;First Aid Kit
362;513;Water Kettle
360;514;Water Kettle
360;515;Iron and Ironing Board
360;516;Oven
360;517;Fridge/Frezzer
360;518;Shower Gel
360;519;First Aid Kit
360;520;Microwave
360;521;Capsule Coffee Machine
360;522;Washer/Dryer Machine
360;523;Dishwasher
360;524;Ceramic Hob
360;525;Towels and Bed Linen
360;526;Toaster
360;527;Kitchen Utensils
360;528;Fans
360;529;Cooker
361;530;Oven
361;531;Fridge/Freezer
361;532;Shower Gel
361;533;First Aid Kit
361;534;Microwave
361;535;Capsule Coffee Machine
361;536;Washer/Dryer Machine
361;537;Dishwasher
361;538;Ceramic Hob
361;539;Towels and Bed Linen
361;540;Toaster
361;541;Iron and Ironing Board
361;542;Water Kettle
275;544;Lift
275;545;Laundry
362;547;Daily Cleaning Service
360;548;Daily Cleaning Service
363;549;SportTv
355;550;Outdoor pool
359;551;Daily Cleaning Service
359;552;Water Kettle
359;553;Iron and Ironing Board
359;554;Oven
359;555;Fridge/Frezzer
359;556;Shower Gel
359;557;First Aid Kit
359;558;Microwave
359;559;Capsule Coffee Machine
359;560;Washer/Dryer Machine
359;561;Dishwasher
359;562;Ceramic Hob
359;563;Towels and Bed Linen
359;564;Kitchen Utensils
366;566;Coffee/Tea Machine
366;567;Trouser Press
366;568;Cosmetic Mirror
366;569;Scale
366;570;Iron and Ironing Board (on request)
366;571;Playground
366;572;Business Center
366;573;Luggage Storage
366;574;Pillow Menu
366;576;Bathrobe and Slippers
366;577;Sewing Service
366;578;Multilingual Reception Service
366;579;Video Surveillance
366;580;Living room
366;581;V.I.P. treatment (fruit basket, mineral water or oport wine)
366;582;Wellness Center: massages and beauty treatments
368;583;Chlorine free Swimmingpool
368;584;No ending time breakfast
368;585;Airport Transfer
368;586;Heated Floor
368;587;Offer of herbal tea and cookies from our production every night !
366;588;Exterior Lounge
367;589;Free Wi-Fi
367;590;Free Wi-Fi in public areas
367;592;TV
367;593;Dishwasher
367;594;Washing machine
376;596;Kitchen full-equipped
378;598;Internet Wi-Fi
