hotel_ID;Reserve_ID;pais;estado_reserva;room_ID;tipo_quarto;rate_plan;data_reserva;num_noites;Quantidade de quartos;ocupacao;adultos;criancas;bebes;preco_euros;data_chegada;data_partida;preco_noite;preco_noite_adulto;preco_noite_ocupacao
310;1722047;Portugal;Registado;2870;Quarto Duplo Superior com Cama Extra;Main Rate BB;2023-04-16T21:55:48.900Z;1;1;2;2;0;0;100.4435;2023-04-30;2023-05-01;100.4435;50.22175;50.22175
311;1720340;Luxemburgo;Registado;2034;DBS - Quarto Duplo Superior;Semi Flexivel;2023-04-14T14:31:55.530Z;1;1;2;2;0;0;90.45;2023-06-01;2023-06-02;90.45;45.225;45.225
44;1718932;Estados Unidos;Cancelado;85;Quarto Vista Pinhão;BAR;2023-04-12T17:31:07.767Z;1;1;2;2;0;0;125.0;2023-06-15;2023-06-16;125.0;62.5;62.5
335;1717009;Portugal;Cancelado;1488;Duplo;BAR-ONLINE | Min. 2 noites;2023-04-10T14:38:57.583Z;2;1;2;2;0;0;130.0;2023-04-10;2023-04-12;65.0;32.5;32.5
556;1716447;Portugal;Registado;2831;Double Room Standard;WEB (Best Available Rate) BB;2023-04-09T18:38:45.400Z;1;4;2;8;0;0;272.0;2023-06-03;2023-06-04;272.0;34.0;136.0
310;1716190;Portugal;Pendente;1673;Quarto Duplo Superior;Main Rate BB;2023-04-09T11:20:08.367Z;1;1;1;1;0;0;59.43675;2023-04-15;2023-04-16;59.43675;59.43675;59.43675
482;1713319;Irlanda;Registado;2285;Apartamento T1;(WEB) Best Available Rate*;2023-04-04T21:08:07.350Z;7;1;3;3;0;0;1220.75;2023-07-18;2023-07-25;174.39285714285714;58.13095238095238;58.13095238095238
514;1713213;Argentina;Cancelado;2425;Eco Garden Room;BearPride23;2023-04-04T19:10:47.447Z;5;1;1;1;0;0;725.0;2023-05-30;2023-06-04;145.0;145.0;145.0
556;1710971;Espanha;Registado;2833;Triple Room Standard;WEB (Best Available Rate) BB;2023-04-02T11:30:58.903Z;2;1;3;3;0;0;166.6;2023-04-05;2023-04-07;83.3;27.766666666666666;27.766666666666666
426;1704701;Portugal;Registado;1992;Junior Suite;PENSÃO COMPLETA;2023-03-24T17:02:31.873Z;5;1;2;2;1;0;1243.0;2023-04-02;2023-04-07;248.6;124.3;124.3
395;1704561;Alemanha;Cancelado;1829;Estúdio Jardim;Standard;2023-03-24T13:05:03.920Z;2;1;2;2;0;0;190.0;2023-03-25;2023-03-27;95.0;47.5;47.5
511;1704056;Espanha;Registado;2394;Quarto Duplo ou Twin;Smart Deal - Direct Rate - Quartos (B&B);2023-03-23T18:47:59.397Z;4;1;1;1;0;0;279.0;2023-03-29;2023-04-02;69.75;69.75;69.75
366;1694509;Portugal;Modificada;1648;QUARTO TWIN STANDARD;Non Refundable;2023-03-10T12:07:53.900Z;1;1;2;2;0;0;75.6;2023-03-11;2023-03-12;75.6;37.8;37.8
328;1692675;Noruega;Registado;1456;Superior Double Room;WebSite;2023-03-07T16:48:30.840Z;2;1;2;2;0;0;153.19;2023-04-06;2023-04-08;76.595;38.2975;38.2975
310;1691045;Suiça;Registado;1395;Quarto Duplo Standard;MR - Main Rate;2023-03-05T16:45:33.920Z;3;1;2;2;0;0;138.225;2023-03-06;2023-03-09;46.074999999999996;23.037499999999998;23.037499999999998
179;1690589;Canadá;Registado;631;Twin Comfort;No Reembolsable 13%;2023-03-04T20:29:24.077Z;3;1;2;2;0;0;502.686;2023-05-27;2023-05-30;167.56199999999998;83.78099999999999;83.78099999999999
511;1689186;Portugal;Registado;2867;Quarto Duplo Económico;Standart Rate - Quartos (Room Only);2023-03-02T18:07:34.107Z;3;1;2;2;0;0;495.0;2023-08-18;2023-08-21;165.0;82.5;82.5
309;1687493;Portugal;Modificada;1372;Quarto Duplo Standard;Main Rate BB;2023-02-28T12:41:37.583Z;2;1;2;2;0;0;127.167;2023-04-21;2023-04-23;63.5835;31.79175;31.79175
309;1687154;Espanha;Modificada;1372;Quarto Duplo Standard;MR - Main Rate;2023-02-27T22:27:13.067Z;1;1;2;2;0;0;34.55625;2023-03-02;2023-03-03;34.55625;17.278125;17.278125
366;1686287;Portugal;Registado;1648;QUARTO TWIN STANDARD;Non Refundable;2023-02-26T21:25:06.667Z;1;1;2;2;1;0;75.6;2023-03-04;2023-03-05;75.6;37.8;37.8
311;1684483;Bélgica;NãoRegistado;1946;DBT - Quarto Duplo com Cama Extra;Main Rate BB;2023-02-24T10:15:06.223Z;1;1;3;3;0;0;129.675;2023-08-13;2023-08-14;129.675;43.225;43.225
539;1684443;Portugal;Confirmado;2542;Quarto Dpl. Standard;Bar;2023-02-24T09:05:41.203Z;5;1;1;1;0;0;475.0;2023-08-20;2023-08-25;95.0;95.0;95.0
